Африк	Afrika
Татвар	Steuer
Араб үсэг	Arabisches Alphabet
Кирил үсэг	Kyrillisches Alphabet
Ангилал:Болгар орон	Kategorie:Bulgarien
Утга зохиол	Literatur
Ангилал:Франц	Kategorie:Frankreich
Ангилал:Хөгжим	Kategorie:Musik
Ангилал:Утга зохиол	Kategorie:Literatur
Ангилал:Яруу найраг	Kategorie:Lyrik
Гэнжийн туульс	Genji Monogatari
Манга	Manga
Илиада	Ilias
Махабхарата	Mahabharata
Дэвид Гетта	David Guetta
Улаан үнэг	Rotfuchs
Харри Поттэр	Harry Potter
Бүрээ	Trompete
Хийл	Violine
Вальядолид	Valladolid
Алгоритм	Algorithmus
Морин хийл	Violoncello
Лондоны олимп (1948 он)	Olympische Sommerspiele 1948
Хельсинкийн олимп	Olympische Sommerspiele 1952
Македоны Александр	Alexander der Große
Мельбурны олимп	Olympische Sommerspiele 1956
Ромын олимп	Olympische Sommerspiele 1960
Токиогийн олимп (1964 он)	Olympische Sommerspiele 1964
Нийгэм	Gesellschaft (Soziologie)
Мехикогийн олимп	Olympische Sommerspiele 1968
Соёл иргэншил	Zivilisation
Боловсрол	Bildung
Гэр бүл	Familie
Мюнхений олимп	Olympische Sommerspiele 1972
Эрэгтэй хүн	Mann
Отто фон Бисмарк	Otto von Bismarck
Монреалийн олимп	Olympische Sommerspiele 1976
Курт Кобэйн	Kurt Cobain
Франц Википедиа	Französischsprachige Wikipedia
Москвагийн олимп	Olympische Sommerspiele 1980
Цаазаар авах ял	Todesstrafe
Лос-Анжелесын олимп (1984 он)	Olympische Sommerspiele 1984
Доголон Төмөр	Tamerlan
Боолчлол	Sklaverei
Иргэний дайн	Bürgerkrieg
Өлзийт Төмөр хаан	Timur Khan
Сөүлийн олимп	Olympische Sommerspiele 1988
Цэрэг	Militär
I Пётр	Peter der Große
Кофе	Kaffee
Барселоны олимп	Olympische Sommerspiele 1992
Амударья	Amudarja
Сүү	Milch
Уул	Berg
Өгөгдлийн сан	Datenbank
Цөл	Wüste
Атлантын олимп	Olympische Sommerspiele 1996
Хайсан Хүлэг хаан	Külüq Khan
Аюурбарбад буянт хаан	Buyantu Khan
Сиднейн олимп	Olympische Sommerspiele 2000
Шадбал гэгээн хаан	Suddhipala
Афины олимп (2004 он)	Olympische Sommerspiele 2004
Есөнтөмөр хаан	Yesun Timur Khan
Бээжингийн олимп	Olympische Sommerspiele 2008
Сун Ятсэн	Sun Yat-sen
Лондоны олимп (2012 он)	Olympische Sommerspiele 2012
Саладин	Saladin
Акбар	Akbar
Симон Боливар	Simón Bolívar
Рио-де-Жанейрогийн олимп	Olympische Sommerspiele 2016
Хонконг	Hongkong
Ашидхэв хаан	Arigaba
Төвтөмөр хаан	Toqa Timur
Хүслэн хаан	Qutugku Khan
Карачи	Karatschi
Солонгосын дайн	Koreakrieg
Ринчинбал хаан	Irinchinbal
Тогоонтөмөр хаан	Toghan Timur
Америкийн иргэний дайн	Sezessionskrieg
Рио-де-Жанейро	Rio de Janeiro
Британийн эзэнт гүрэн	Britisches Weltreich
Реал Мадрид	Real Madrid
Хүйтэн дайн	Kalter Krieg
Сөүл	Seoul
Шанхай	Shanghai
Бильбао	Bilbao
Их хямрал	Weltwirtschaftskrise
Уолт Дисней	Walt Disney
Манж улс	Qing-Dynastie
Версалийн гэрээ	Friedensvertrag von Versailles
Архимед	Archimedes
Вьетнамын дайн	Vietnamkrieg
Томас Альва Эдисон	Thomas Alva Edison
Евклид	Euklid
Майкл Фарадей	Michael Faraday
Энрико Ферми	Enrico Fermi
Фибоначчи	Leonardo Fibonacci
Хенри Форд	Henry Ford
Жан Батист Жозеф Фурье	Joseph Fourier
Криптограф	Kryptographie
Internet Protocol	Internet Protocol
Украйн хэл	Ukrainische Sprache
Transmission Control Protocol	Transmission Control Protocol
Бит	Bit
HTML	Hypertext Markup Language
ASCII	American Standard Code for Information Interchange
Валенсиа	Valencia
Юникод	Unicode
Мальорка (хөлбөмбөгийн баг)	RCD Mallorca
Малага (хөлбөмбөгийн баг)	FC Málaga
Стивен Спилберг	Steven Spielberg
Аюушридар хаан	Biligtü Khan
Марион Котийяр	Marion Cotillard
Иоханнэс Гутэнбэрг	Johannes Gutenberg
Жэймс Прэскотт Жоуль	James Prescott Joule
Иоханнэс Кеплер	Johannes Kepler
Макс Планк	Max Planck
Швед хэл	Schwedische Sprache
Никола Тесла	Nikola Tesla
Аль-Хорезми	Al-Chwarizmi
Жэймс Ватт	James Watt
Готфрид Вильгельм Лейбниц	Gottfried Wilhelm Leibniz
Чех хэл	Tschechische Sprache
Словак хэл	Slowakische Sprache
Карл Маркс	Karl Marx
Уолтер Дикс	Walter Dix (Leichtathlet)
Унгар/Мажар хэл	Ungarische Sprache
Вольтер	Voltaire
Эстон хэл	Estnische Sprache
Мосе	Mose
Лашон Мерритт	LaShawn Merritt
Литва хэл	Litauische Sprache
Хиндү шашин	Hinduismus
Беларусь хэл	Weißrussische Sprache
Жеймс Клерк Максвелл	James Clerk Maxwell
Дмитрий Менделеев	Dmitri Iwanowitsch Mendelejew
Асбель Кипроп	Asbel Kiprop
Кенениса Бекеле	Kenenisa Bekele
Атом	Atom
Эрнест Резерфорд	Ernest Rutherford
Гэрэл	Licht
Грек хэл	Griechische Sprache
Эрвин Шрёдингер	Erwin Schrödinger
Домог үлгэр	Mythologie
Үйлдлийн систем	Betriebssystem
Браймин Кипруто	Brimin Kiprop Kipruto
Таж Махал	Taj Mahal
Програмчлалын хэл	Programmiersprache
Оцон шувуу	Pinguine
Цахим шуудан	E-Mail
Монотеизм	Monotheismus
Перс хэл	Persische Sprache
Шашин	Religion
Солонгос хэл	Koreanische Sprache
Абрахам	Abraham
Эхлэл	1. Buch Mose
Эмпайр-Стейт-Билдинг	Empire State Building
Египетээс гарсан нь	2. Buch Mose
Рене Декарт	René Descartes
Вьетнам хэл	Vietnamesische Sprache
Паул	Paulus von Tarsus
Эрх чөлөөний хөшөө	Freiheitsstatue
Лаос хэл	Laotische Sprache
Зигмунд Фрейд	Sigmund Freud
Жайнизм	Jainismus
Монгол хэл бичиг	Mongolische Sprache
Баку	Baku
Казак хэл бичиг	Kasachische Sprache
Хиргис хэл бичиг	Kirgisische Sprache
Дэлхийн өв	UNESCO-Welterbe
Эсэн тайш	Esen Tayishi
Узбек хэл	Usbekische Sprache
Түркмен хэл	Turkmenische Sprache
Иудаизм	Judentum
Тхимпху	Thimphu
Бандар Сери Бегаван	Bandar Seri Begawan
Еврей хэл	Hebräische Sprache
Азербайжан хэл	Aserbaidschanische Sprache
Македон хэл	Mazedonische Sprache
Серб хэл	Serbische Sprache
Батмөнх Даян хаан	Dayan Khan
Дили хот	Dili
Иммануил Кант	Immanuel Kant
Жон Мейнард Кейнс	John Maynard Keynes
Вьентьян	Vientiane
Лао-цзы	Laozi
Лигдэн хаан	Ligdan Khan
Мале	Malé
Жон Локк	John Locke
Фридрих Ницше	Friedrich Nietzsche
Бишкек	Bischkek
Жан Пол Сартр	Jean-Paul Sartre
Душанбе	Duschanbe
Мэргэн Самбуу	Google
Элэг	Leber
Адам Смит	Adam Smith
Мэдрэлийн систем	Nervensystem
Сэтгэл судлал	Psychologie
Далай	Ozean
Аквины Фома	Thomas von Aquin
Гаутама Будда	Siddhartha Gautama
Английн Премьер лиг	Premier League
Мухамэд	Mohammed
Ёс зүй	Ethik
Английн хөлбөмбөгийн холбоо	The Football Association
Шахрух Хан	Shah Rukh Khan
Тони Блэр	Tony Blair
Жон Мейжор	John Major
Шамонигийн олимп	Olympische Winterspiele 1924
Аннемари Мозер-Прёлл	Annemarie Moser-Pröll
Сан-Морицын олимп (1928 он)	Olympische Winterspiele 1928
Католик сүм	Römisch-katholische Kirche
Лэйк-Плэсидийн олимп (1932 он)	Olympische Winterspiele 1932
Гармиш-Партенкирхены олимп	Olympische Winterspiele 1936
Вена (анатоми)	Vene
Бенгал хэл	Bengalische Sprache
Сан-Морицын олимп (1948 он)	Olympische Winterspiele 1948
Челси (хөлбөмбөгийн баг)	FC Chelsea
Арсенал (хөлбөмбөгийн баг)	FC Arsenal
Нойр булчирхай	Bauchspeicheldrüse
Ослогийн олимп	Olympische Winterspiele 1952
Түрүү булчирхай	Prostata
Кортина д'Ампеццогийн олимп	Olympische Winterspiele 1956
Ско-Валлигийн олимп	Olympische Winterspiele 1960
Инсбрукийн олимп (1964 он)	Olympische Winterspiele 1964
Греноблийн олимп	Olympische Winterspiele 1968
Саппорогийн олимп	Olympische Winterspiele 1972
Инсбрукийн олимп (1976 он)	Olympische Winterspiele 1976
Лэйк-Плэсидийн олимп (1980 он)	Olympische Winterspiele 1980
Сараевогийн олимп	Olympische Winterspiele 1984
Калгарийн олимп	Olympische Winterspiele 1988
Альбервиллийн олимп	Olympische Winterspiele 1992
Лиллехаммерын олимп	Olympische Winterspiele 1994
Наганогийн олимп	Olympische Winterspiele 1998
Солт-Лэйк Ситийн олимп	Olympische Winterspiele 2002
Турины олимп	Olympische Winterspiele 2006
Ванкуверын олимп	Olympische Winterspiele 2010
Сочийн (Сочигийн) олимп	Olympische Winterspiele 2014
Пёнчангийн олимп	Olympische Winterspiele 2018
II Элизабет	Elisabeth II.
Тан улс	Tang-Dynastie
Диана гүнж	Diana, Princess of Wales
Жон Фицжеральд Кеннеди	John F. Kennedy
Ханасан ураны сум	Abreicherung
Тан Гаозу	Tang Gaozu
Тан Тайзун	Tang Taizong
Оноре де Бальзак	Honoré de Balzac
Блюз	Blues
Цагаан толгой	Alphabet
Үсэг	Buchstabe
Эйндховен хот	Eindhoven
Мин улс	Ming-Dynastie
Хаарлем	Haarlem
Жу Юань Жан	Hongwu
Жэнтун	Zhengtong
Нидерланд Википедиа	Niederländischsprachige Wikipedia
Тина Мазе	Tina Maze
Жулиа Манкусо	Julia Mancuso
Мариа Хёфль-Риш	Maria Höfl-Riesch
Викториа Ребенсбург	Viktoria Rebensburg
Рафаэл Надал	Rafael Nadal
Плазм (физик)	Plasma (Physik)
Пифагор	Pythagoras
Колизей	Kolosseum
Ядуурал	Armut
Сан Себастьян	Donostia-San Sebastián
Валенсиа (хөлбөмбөгийн баг)	FC Valencia
Жон МакКэйн	John McCain
Дэвид Бекхэм	David Beckham
Райан Гиггз	Ryan Giggs
Том Клеверли	Tom Cleverley
Хонь (одны орд)	Widder (Sternbild)
Эшли Янг	Ashley Young
Гордон Браун	Gordon Brown
Ким Жон Ил	Kim Jong-il
Ангилал:Венесуэл	Kategorie:Venezuela
SEGA Mega Drive	Sega Mega Drive
PlayStation 3	PlayStation 3
Кардифф	Cardiff
Үелэх систем	Periodensystem
Роберт Мугабе	Robert Mugabe
Натаниэл Чалоба	Nathaniel Chalobah
Мэрэгч	Nagetiere
Тагтаа	Tauben
Испанийн иргэний дайн	Spanischer Bürgerkrieg
Нян	Bakterien
Мод	Baum
Хөвчтөн	Chordatiere
Эмо	Emo
Бяслаг	Käse
Усан үзэм	Weintraube
Зөгийн бал	Honig
Мах	Fleisch
Тайгер Вүдс	Tiger Woods
Төмс	Kartoffel
Элсэн чихэр	Zucker
Хүнсний ногоо	Gemüse
Шар буурцаг	Sojabohne
Снукер биллиард	Snooker
Технологи	Technologie
Инженерчлэл	Ingenieurwissenschaften
Мэдээллийн харилцаа	Kommunikation
Мэдээлэл	Information
Сэтгүүл зүй	Journalismus
Сонин	Zeitung
Харилцуур утас	Telefon
Роллинг Стоунз	The Rolling Stones
Соёл	Kultur
РНХ	Ribonukleinsäure
Санскрит хэл	Sanskrit
Альцхаймерын өвчин	Alzheimer-Krankheit
Бүдүүн гэдэс	Dickdarm
IP хаяг	IP-Adresse
User Datagram Protocol	User Datagram Protocol
Super Mario Bros.	Super Mario Bros.
Химийн холбоо	Chemische Verbindung
NAT	Network Address Translation
Дэлхийн хүн ам	Weltbevölkerung
Анагаах ухаан	Medizin
Сараево	Sarajevo
Үндсэн хуулийн эрх зүй	Verfassungsrecht
Америкийн Нэгдсэн Улсын Зэвсэгт хүчин	Streitkräfte der Vereinigten Staaten
Тоон анализ	Numerische Mathematik
Смайл	Smiley
Давс	Speisesalz
Фидель Кастро	Fidel Castro
Ангилал:Бразил	Kategorie:Brasilien
Вэб сервер	Webserver
Тэнгэр баганадсан байшин	Wolkenkratzer
Ангилал:Румын	Kategorie:Rumänien
Химийн элемент	Chemisches Element
Функц (математик)	Funktion (Mathematik)
Органик хими	Organische Chemie
Өнцөг (геометр)	Winkel
Альтернатив рок	Alternative Rock
Unix	Unix
Молекул	Molekül
Хурдатгал	Beschleunigung
Энерги	Energie
Дотоод сүлжээ	Local Area Network
Энерги хадгалагдах хууль	Energieerhaltungssatz
Цахилгаан соронзон цацрал	Elektromagnetische Welle
Хэт улаан туяа	Infrarotstrahlung
Хэт ягаан туяа	Ultraviolettstrahlung
Гэршүүлэлт	Domestizierung
Сонгодог механик	Klassische Mechanik
Хүч	Kraft
Соронзон орон	Magnetfeld
Апартеид	Apartheid
Гравитаци	Gravitation
Го	Go (Spiel)
Хүчтэй харилцан үйлчлэл	Starke Wechselwirkung
Каратэ	Karate
Жүдо	Judo
Соронз	Magnet
Масс	Masse (Physik)
Кино	Film
Хөдөлгөөнт дүрс	Animation
Металл	Metalle
Ган	Stahl
Цөм задрах урвал	Kernspaltung
Бодисын төлөв	Aggregatzustand
Хий	Gas
Шингэн	Flüssigkeit
Хатуу	Festkörper
Усан онгоц	Schiff
Цацраг идэвхт задрал	Radioaktivität
Хөдөө аж ахуй	Landwirtschaft
Усжуулалт	Bewässerung
Харьцангуйн тусгай онол	Spezielle Relativitätstheorie
Хагас дамжуулагч	Halbleiter
Серена Виллиамс	Serena Williams
Хувцас	Kleidung
Дуу	Schall
Adobe Systems	Adobe Systems
Температур	Temperatur
Нанотехнологи	Nanotechnologie
Цаг хугацаа	Zeit
Термодинамик	Thermodynamik
Пифагорын теорем	Satz des Pythagoras
Гамма цацраг	Gammastrahlung
Комплекс тоо	Komplexe Zahl
Килограмм	Kilogramm
Кристиано Рональдо	Cristiano Ronaldo
Метр	Meter
Секунд	Sekunde
Кельвин	Kelvin
Литр	Liter
Икер Касильяс	Iker Casillas
Харри Трумэн	Harry S. Truman
Гэрэл зураг авалт	Fotografie
Бүжиг	Tanz
Нирвана (хамтлаг)	Nirvana (Band)
Электроник	Elektronik
Цахилгаан гүйдэл	Elektrischer Strom
Давтамж	Frequenz
Диод	Diode
Трансформатор	Transformator
Хиймэл оюун	Künstliche Intelligenz
Цаг агаар	Wetter
Ким Клийстерс	Kim Clijsters
Уолл Стрит	Wall Street
Бонд	Verzinsliches Wertpapier
Зүүн Өмнөд Ази	Südostasien
Сиемреап	Siem Reap
Шэньян хот	Shenyang
Чунцин	Chongqing
Карл Реннер	Karl Renner
Тяньжинь	Tianjin
Үхань	Wuhan
Улс орнуудын жагсаалт	Liste der Staaten der Erde
Нагоя	Nagoya
Хайнц Фишер	Heinz Fischer
Балар эртний үе	Urgeschichte
Чулуун зэвсгийн үе	Steinzeit
Хүрэл зэвсгийн үе	Bronzezeit
Төмөр зэвсгийн үе	Eisenzeit
Месопотам	Mesopotamien
Эртний Египет	Altes Ägypten
Берингийн хоолой	Beringstraße
Эртний Грек	Antikes Griechenland
Баавгай	Bären
Силвио Берлускони	Silvio Berlusconi
Уиллиам Роуан Хэмилтон	William Rowan Hamilton
Кевин Костнер	Kevin Costner
Тим Матавж	Tim Matavž
Дрис Мертенс	Dries Mertens
Ола Тойвонен	Ola Toivonen
Бафетимби Гомис	Bafétimbi Gomis
Лас Пальмас	Las Palmas de Gran Canaria
Бритни Спирс	Britney Spears
Хоол боловсруулалт	Verdauung
Фотосинтез	Photosynthese
Жирэмслэлт	Schwangerschaft
Кайли Миноуг	Kylie Minogue
Дэйв Грол	Dave Grohl
Нарс	Kiefern
Хорт хавдар	Krebs (Medizin)
Анри Дюнан	Henry Dunant
Улаан буудай	Weizen
Амуу	Getreide
Бретань муж	Bretagne
Цагалбар	Kalender
Өвчин	Krankheit
Григорийн тоолол	Gregorianischer Kalender
Эм (ерөндөг)	Arzneimittel
Цагийн бүс	Zeitzone
Зүрхний шигдээс	Myokardinfarkt
Таргалалт	Adipositas
Дархлалын олдмол хомсдол	AIDS
Сүрьеэ	Tuberkulose
Загвар:Location map Germany	Vorlage:Positionskarte Deutschland
Чихрийн шижин	Diabetes mellitus
Курд үндэстэн	Kurden
Загвар:Location map Spain	Vorlage:Positionskarte Spanien
Загвар:Location map Italy	Vorlage:Positionskarte Italien
Архитектур	Architektur
Загвар:Location map Slovenia	Vorlage:Positionskarte Slowenien
Загвар:Location map Ukraine	Vorlage:Positionskarte Ukraine
Загвар:Location map Kazakhstan	Vorlage:Positionskarte Kasachstan
Боомт	Talsperre
Загвар:Location map Iran	Vorlage:Positionskarte Iran
Загвар:Location map UAE	Vorlage:Positionskarte Vereinigte Arabische Emirate
Загвар:Location map India	Vorlage:Positionskarte Indien
Загвар:Location map Burma	Vorlage:Positionskarte Myanmar
Загвар:Location map Mongolia	Vorlage:Positionskarte Mongolei
Загвар:Location map China	Vorlage:Positionskarte China
Загвар:Location map Japan	Vorlage:Positionskarte Japan
Загвар:Location map Vietnam	Vorlage:Positionskarte Vietnam
Загвар:Location map Marshall Islands	Vorlage:Positionskarte Marshallinseln
Мона Лиза	Mona Lisa
Пиренейн уулс	Pyrenäen
Ньютон (нэгж)	Newton (Einheit)
Олон улсын нэгжийн систем	Internationales Einheitensystem
Тооны онол	Zahlentheorie
Бурж Халифа	Burj Khalifa
Цагаан хэрэм	Chinesische Mauer
Бүхэл тоо	Ganze Zahl
Софийн цогчин дуган	Hagia Sophia
Бөмбөлөг	Kugel
Шат	Treppe
Гар аймаг	Département Gard
Цамхаг	Turm
Гэгээрлийн үе	Aufklärung
Ацтек	Azteken
Византын эзэнт гүрэн	Byzantinisches Reich
Эро аймаг	Département Hérault
Загалмайтны аян дайн	Kreuzzug
Ариун Ромын эзэнт гүрэн	Heiliges Römisches Reich
Зуун жилийн дайн	Hundertjähriger Krieg
Дундад зуун	Mittelalter
Их Монгол улс	Mongolisches Reich
Османы эзэнт гүрэн	Osmanisches Reich
Протестант шинэчлэл	Reformation
Викингүүд	Wikinger
Латин Америк	Lateinamerika
Небухаднезар II	Nabû-kudurrī-uṣur II.
Мексикийн булан	Golf von Mexiko
Дотоодын нийт бүтээгдэхүүн	Bruttoinlandsprodukt
Вильхелм Оствальд	Wilhelm Ostwald
Рудольф Дизель	Rudolf Diesel
Уран бичлэг	Kalligrafie
Нитобэ Иназо	Nitobe Inazō
Сэргээгдэх эрчим хүч	Erneuerbare Energien
Максим Горький	Maxim Gorki
Дорно Пиреней	Département Pyrénées-Orientales
Цөмийн эрчим хүч	Kernenergie
Шатах ашигт малтмал	Fossile Energie
Галт зэвсэг	Feuerwaffe
Цөмийн зэвсэг	Kernwaffe
Сампин	Abakus (Rechenhilfsmittel)
Иберийн хойг	Iberische Halbinsel
Дарь	Schießpulver
Фаркаш Берталан	Bertalan Farkas
Танк	Panzer
Жорж Сорос	George Soros
Марин Ле Пен	Marine Le Pen
Стид Мальбранк	Steed Malbranque
Реми Веркутр	Rémy Vercoutre
Бенилюкс	Benelux
Цэцэрлэгийн гүзээлзгэнэ	Gartenerdbeere
WordPress	WordPress
Үхрийн нүд	Brombeeren
Далдуу мод	Kokospalme
Жүрж	Orange (Frucht)
Уйгур хэл	Uigurische Sprache
Грац	Graz
Александр Ляказетт	Alexandre Lacazette
Могол хэл	Moghol
Пиза	Pisa
Загвар:Location map Nicaragua	Vorlage:Positionskarte Nicaragua
Загвар:Location map Cuba	Vorlage:Positionskarte Kuba
Загвар:Location map Earth	Vorlage:Positionskarte Erde
Загвар:Location map Pacific Ocean	Vorlage:Positionskarte Pazifischer Ozean
Нью-Йоркийн хөрөнгийн бирж	New York Stock Exchange
Хиймэл арал	Künstliche Insel
Адиже гол	Etsch
Mезоамерик	Mesoamerika
Гаи Фоокс	Guy Fawkes
Анжелина Жоли	Angelina Jolie
Иль-де-Франс	Île-de-France
Адриатын тэнгис	Adriatisches Meer
Араб хэл	Arabische Sprache
Талархлын баяр	Thanksgiving
Тарту	Tartu
Блүүмбэрг Телевиз	Bloomberg Television
Хоншүү	Honshū
Ян-Майен	Jan Mayen
Эрвин Роммель	Erwin Rommel
Чөлөөт агуулга	Freie Inhalte
Цээжнээс шахалт	Bankdrücken
Умар Солонгос улсын хөлбөмбөгийн шигшээ баг	Nordkoreanische Fußballnationalmannschaft
Тахо гол	Tajo
Дуэро гол	Duero
Тэжун ван	Taejong
Виториа-Гастейс	Vitoria-Gasteiz
Санта Круз де Тенерифе	Santa Cruz de Tenerife
Тираннозавр	Tyrannosaurus
Нохой зээх	Vielfraß
И Мён-Бак	Lee Myung-bak
Ну Мү-Хён	Roh Moo-hyun
Пак Жон-Хыи	Park Chung-hee
Жон Дү-Хуан	Chun Doo-hwan
Сава гол	Save
Брахиозавр	Brachiosaurus
Фиби Кэйтс	Phoebe Cates
Икике	Iquique
Пасха арал	Osterinsel
Анатотитан	Anatotitan
Оптик	Optik
Mach operating system	Mach (Kernel)
Соларис (үйлдлийн систем)	Solaris (Betriebssystem)
Харандаа	Bleistift
Финийн булан	Finnischer Meerbusen
Янне Хаппонен	Janne Happonen
Макао	Macau
Загвар:Location map Morocco	Vorlage:Positionskarte Marokko
Загвар:Location map Libya	Vorlage:Positionskarte Libyen
Загвар:Location map Niger	Vorlage:Positionskarte Niger
Загвар:Location map Guinea	Vorlage:Positionskarte Guinea
Загвар:Location map Ghana	Vorlage:Positionskarte Ghana
Загвар:Location map Rwanda	Vorlage:Positionskarte Ruanda
Загвар:Location map Tanzania	Vorlage:Positionskarte Tansania
Загвар:Location map Namibia	Vorlage:Positionskarte Namibia
Загвар:Location map Comoros	Vorlage:Positionskarte Komoren
Брно	Brünn
Жюль Ренкин	Jules Renkin
Анааш	Giraffe
Ром аймаг	Provinz Rom
Милан аймаг	Provinz Mailand
Шэньжэнь	Shenzhen
Зөвлөлт Холбоот Улс	Sowjetunion
Жек Уилшир	Jack Wilshere
Бөгжний эзэн	Der Herr der Ringe
Дэлхийн царцдас	Erdkruste
Керрон Клемент	Kerron Clement
Хонконгийн их сургууль	Universität Hongkong
Хонконгийн хятад их сургууль	Chinesische Universität Hongkong
Жервис Булангийн Нутаг Дэвсгэр	Jervis Bay Territory
Лил Уэйн	Lil Wayne
Гэр	Jurte
Вели-Матти Линдстрём	Veli-Matti Lindström
Си хэл	C (Programmiersprache)
Бавари Мюнхен	FC Bayern München
Хосе Мануэл Барросо	José Manuel Barroso
Queen (хамтлаг)	Queen (Band)
Норманди	Normandie
Металлика	Metallica
Трбовле	Trbovlje
Палермо аймаг	Provinz Palermo
Пеньярол (хөлбөмбөгийн баг)	Club Atlético Peñarol
Персональ компьютер	Personal Computer
XML Schema (W3C)	XML Schema
Брюс Ли	Bruce Lee
Катрина хар салхи	Hurrikan Katrina
Wikipedia:Онцлох өгүүлэл	Wikipedia:Exzellente Artikel
Өдөр	Tageslicht
Ертөнц	Welt
Wikipedia:Хурал	Wikipedia:Projektdiskussion
Пүсань	Busan
Цацаргин	Indische Lotosblume
South Park	South Park
Вермонт	Vermont
Денвер	Denver
Гуанжоу	Guangzhou
Чан Кайши	Chiang Kai-shek
Наньжин (Нанжин)	Nanjing
Кейли Куоко	Kaley Cuoco
Эдгар Аллан По	Edgar Allan Poe
Бээжингийн их сургууль	Peking-Universität
Доор Норманд	Basse-Normandie
Чинхуа их сургууль	Tsinghua-Universität
Зүүн Герман	Deutsche Demokratische Republik
Өрөмч хот	Ürümqi
Дээр Норманд	Haute-Normandie
Жянсү	Jiangsu
Жөжян	Zhejiang
Яни Сойнинен	Jani Soininen
Бэкстрит Бойз	Backstreet Boys
Харви Милк	Harvey Milk
Өндөг	Ei
Салоники	Thessaloniki
Карлес Пуйоль	Carles Puyol
Төвөд	Tibet
Тойрог	Kreis
Арван дөрөвдүгээр Далай лам	Tendzin Gyatsho
Grand Theft Auto V	Grand Theft Auto V
Жон Фон Нейман	John von Neumann
Анциклопедиа	Uncyclopedia
Clube de Regatas do Flamengo	Flamengo Rio de Janeiro
Тиаго Алкантара	Thiago Alcántara
Москвагийн Динамо	FK Dynamo Moskau
Сеск Фабрегас	Cesc Fàbregas
Шави	Xavi
Жерар Пике	Gerard Piqué
Хосе Мануэль Пинто	José Manuel Pinto
Гар утас	Mobiltelefon
Стивен Хокинг	Stephen Hawking
Оскар Робертсон	Oscar Robertson
Аксиом	Axiom
Онол	Theorie
Энх Амгалан хаан	Kangxi
Балларат	Ballarat
ЛГБТ	LGBT
Бэлгийн чиг хандлага	Sexuelle Orientierung
Сапфо	Sappho
Арагацотн аймаг	Aragazotn
Хонолулу	Honolulu
Солонгос	Korea
1925 он	1925
1927 он	1927
Манчестер	Manchester
Гао Шинжиэнь	Gao Xingjian
АББА	ABBA
Физик космологи	Kosmologie
Юн-Инь	Yongin
Саарал чоно	Wolf
Бөмбөг	Ball
1955 он	1955
1954 он	1954
1953 он	1953
1951 он	1951
Sony Computer Entertainment	Sony Computer Entertainment
1950 он	1950
1946 он	1946
1943 он	1943
1942 он	1942
1940 он	1940
1939 он	1939
1938 он	1938
1937 он	1937
1936 он	1936
Манчэстэр Юнайтэд	Manchester United
1935 он	1935
Суонси Сити	Swansea City
Фулхэм (хөлбөмбөгийн баг)	FC Fulham
Астон Вилла	Aston Villa
1934 он	1934
Ньюкасл Юнайтед	Newcastle United
Норвич Сити	Norwich City
Куинз Парк Рейнжерс	Queens Park Rangers
1933 он	1933
Саутхемптон (хөлбөмбөгийн баг)	FC Southampton
Сток Сити	Stoke City
Сандерлэнд (хөлбөмбөгийн баг)	AFC Sunderland
Тоттенхэм Хотспур	Tottenham Hotspur
1932 он	1932
Вест Бромвич Альбион	West Bromwich Albion
Вест Хэм Юнайтед	West Ham United
Уиган Атлетик	Wigan Athletic
УЕФА Аваргуудын Лиг	UEFA Champions League
УЕФА Европын лиг	UEFA Europa League
Бурак Йылмаз	Burak Yılmaz
1931 он	1931
1930 он	1930
1929 он	1929
Пхеньян (Пёнъян)	Pjöngjang
Шинэ Гэрээ	Neues Testament
GPS байршил тогтоох систем	Global Positioning System
Дархан-Уул	Darchan-Uul-Aimag
Бахим амуулай	Lachseeschwalbe
Буурал сүвээцагаан	Kiebitzregenpfeifer
Шугуйн хөгчүү	Bruchwasserläufer
Морин цууцал	Uferschnepfe
Эгэл хайргын хөгчүү	Flussuferläufer
Матигар хөгчүүлэг	Terekwasserläufer
Бэсрэг тутгалжин	Regenbrachvogel
Азийн сүвээцагаан	Sibirischer Goldregenpfeifer
Бразилын аврага яст мэлхий	Waldschildkröte
Эгэл хараалай	Fluss-Seeschwalbe
Али Сиссоко	Aly Cissokho
Адриан Рабьо	Adrien Rabiot
Гүрж угсаатан	Georgier
Том Инс	Tom Ince
Skrillex	Skrillex
Оскарын шагнал	Oscar
2010-11 оны Ла Лиг	Primera División (Spanien) 2010/11
Сванети	Swanetien
Маме Бирам Диуф	Mame Diouf
Дэлхийн улсуудын дотоодын нийт бүтээгдэхүүний жагсаалт (нэрлэсэн үнэ)	Liste der Länder nach Bruttoinlandsprodukt
Тэнгэр тэтгэгч хаан	Qianlong
Хармөрөн	Heilongjiang
Селебесийн тэнгис	Celebessee
Хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	Fußball-Weltmeisterschaft
Карл Хенри	Karl Henry
Даниэль Парехо	Dani Parejo
Эвер Банега	Éver Banega
Хотон (шувуу)	Pelikane
Серхио Каналес	Sergio Canales
Бирмингем Сити	Birmingham City
Блэкберн Роверс	Blackburn Rovers
Блэкпүүл (хөлбөмбөгийн баг)	FC Blackpool
Болтон Уондерерс	Bolton Wanderers
Чарльтон Атлетик	Charlton Athletic
