非洲	Afrika
Hàn (𨧀)	Dubnium
Hí (𨭎)	Seaborgium
Yin-thu-yòng	Indischer Ozean
Khô-sò-vok	Kosovo
Kâ-le̍t-pí-hói	Karibisches Meer
Pô (𨨏)	Bohrium
Het (𨭆)	Hassium
Phan Kî-vùn	Ban Ki-moon
Ma̍k (䥑)	Meitnerium
Khô-lò-là-tô	Colorado
Tha̍t	Darmstadtium
Siau-pâng	Frédéric Chopin
Lùn	Roentgenium
Kô (鎶)	Copernicium
分類:Chú-yeu fûn-lui	Kategorie:!Hauptkategorie
Chi-kâ-kô	Chicago
Arnhem	Arnhem
Tûng-kui	Winter
Sî-pân-ngà-ngî	Spanische Sprache
Fî-là-thiet-fî	Philadelphia
Tî-tû	Webspinnen
Kîm-tshièn	Geld
Vì-kit-nì-â	Virginia
Sî Vì-kit-nì-â	West Virginia
Tshiâng-tséu	Spanischer Pfeffer
Néu-yok-chû	New York (Bundesstaat)
Sṳ (鈰)	Cer
Phú	Praseodym
Lò-tet-tó	Rhode Island
Ńg	Neodym
Khûn-chhùng	Insekten
Mâ-lî-làn	Maryland
Thi̍t-lâ-ngá	Delaware
Yû (銪)	Europium
Ngò-hài-ngò	Ohio
Vì-kit-ngì	Vergil
Machiavelli	Niccolò Machiavelli
Pîn-sé-fap-nì-â	Pennsylvania
Uetersen	Uetersen
O-kú-sṳ̂-tû	Augustus
Néu Chhe̍t-sî-chû	New Jersey
Fûn-làn-ngî	Finnische Sprache
Yin-thi-ôn-na̍p	Indiana
Vì-sṳ̂-pha-siên	Vespasian
Thù-là-chṳ̂n	Trajan
Hâ-tet-liòng	Hadrian (Kaiser)
Khièu-tshṳ-â	Georgia
Mâ-khù-sṳ̂ O-lie̍t-lî-vû-sṳ̂	Mark Aurel
Zagreb	Zagreb
Tet-khiet-sat-sṳ̂	Texas
Thai-mí-ngì-na̍p-tet-pâng	Tamil Nadu
Pet Khà-lò-lòi-na̍p	North Carolina
Nàm Khà-lò-lòi-na̍p	South Carolina
Loire-sén	Loire
Pâ-set-lò-nâ	Barcelona
Vòng-lî	Ananas
Me̍t-sî-sî-pí	Mississippi (Staat)
Thièn-na̍p-sî	Tennessee
Néu Me̍t-sî-kô	New Mexico
Mìn-nì-sû-tha̍t	Minnesota
Vî-sṳ̂-không-sîn	Wisconsin
Oi-hò-fà	Iowa
Nui-pu-lâ-sṳ̂-kâ	Nebraska
Khâm-sat-sṳ̂	Kansas
Yin-thi-ngî	Hindi
Me̍t-sû-lî	Missouri
Lu-yi-sṳ̂-ôn-ná	Louisiana
Khén-thap-kî	Kentucky
Â-khén-set	Arkansas
Neil Armstrong	Neil Armstrong
O-khiet-lâ-hò-mâ	Oklahoma
Pet-hói	Nordsee
Mo̍k-sṳ̂-khô-chû	Oblast Moskau
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hannover
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Mu-nì-het	München
Erfurt	Erfurt
Dresden	Dresden
Kaliningrad-chû	Oblast Kaliningrad
Murmansk-chû	Oblast Murmansk
Kak-than-sṳ̂-khiet	Danzig
Fap-làn-khiet-fuk	Frankfurt am Main
Fut-lò-tshṳ-ngá-fû	Breslau
Làn	Lanthan
Ki (鉕)	Promethium
Sân	Samarium
Â-chhè Thi̍t-phe̍t Hàng-chṳn-khî	Aceh
Nga̍t (釓)	Gadolinium
Thi̍t (鋱)	Terbium
Tit (鏑)	Dysprosium
Sṳn-kîn	Bibel
Fó	Holmium
Ngí (鉺)	Erbium
Tiû	Thulium
Yi	Ytterbium
Liu	Lutetium
Hò-nui-sṳ	Hanoi
Chṳ̂n Yâ-sû Kau-fi	Wahre Jesus-Kirche
Yîn-ngî	Englische Sprache
Màn-kuk	Bangkok
Kit-lùng-po	Kuala Lumpur
Pâng-kâ Vú-lî-thung-sén	Bangka-Belitung
Thòi-pet-sṳ	Taipeh
Mî (鋂)	Americium
Arkhangelsk-chû	Oblast Archangelsk
Khiu̍k	Curium
Thùng-hói-sṳ	Đồng Hới
Concepción	Concepción (Chile)
Pet (鉳)	Berkelium
Khà (鉲)	Californium
Mìn-kú-lû-sén	Bengkulu (Provinz)
Oi	Einsteinium
Fi	Fermium
Mùn	Mendelevium
Na	Nobelium
Ontario-sén	Ontario
Lò	Lawrencium
Karelia Khiung-fò-koet	Republik Karelien
Końskowola	Końskowola
2002-ngièn	2002
2008-ngièn	2008
Charles de Gaulle	Charles de Gaulle
Cham-pî-sén	Jambi (Provinz)
Komi Khiung-fò-koet	Republik Komi
Nâm-póng-sén	Lampung (Provinz)
Pet Sû-mùn-tap-lia̍p-sén	Sumatera Utara
Syktyvkar	Syktywkar
Québec-sṳ	Québec (Stadt)
Nenets Chhṳ-chhṳ-khî	Autonomer Kreis der Nenzen
Liàu-nui-sén	Riau
Leningrad-chû	Oblast Leningrad
Pskov-chû	Oblast Pskow
Liàu-nui Khiùn-tó-sén	Kepulauan Riau
Nizhny Novgorod-chû	Oblast Nischni Nowgorod
Nàm Sû-mùn-tap-lia̍p-sén	Sumatera Selatan
Lò-mâ Ti-koet	Römische Kaiserzeit
Mì-ngiôn Kûng-sṳ̂	Microsoft
Tver-chû	Oblast Twer
Khù-lû-fû	Kurów
Fa-ho̍k	Chemie
Smolensk-chû	Oblast Smolensk
Yaroslavl-chû	Oblast Jaroslawl
Kostroma-chû	Oblast Kostroma
Ivanovo-chû	Oblast Iwanowo
Arnold Schwarzenegger	Arnold Schwarzenegger
Chiuk-khiù	Fußball
Ryazan-chû	Oblast Rjasan
IPhone	IPhone
Sî Sû-mùn-tap-lia̍p-sén	Sumatera Barat
Tula-chû	Oblast Tula
IPad	IPad
Mâ-tet-lî	Madrid
Bryansk-chû	Oblast Brjansk
Michael Jackson	Michael Jackson
Kaluga-chû	Oblast Kaluga
Loire-Atlantique-sén	Département Loire-Atlantique
Ain-sén	Département Ain
Allier-sén	Département Allier
Khâm-phì-là	Canberra
Sông Alpes-sén	Département Hautes-Alpes
Oryol-chû	Oblast Orjol
Sit-nì	Sydney
Alpes-de-Haute-Provence-sén	Département Alpes-de-Haute-Provence
Liu̍k-set	Grün
Alpes-Maritimes-sén	Département Alpes-Maritimes
Hâ-tet-sùn-hò	Hudson River
Me̍t-ngì-pún	Melbourne
Fùng-set	Rot
Ardèche-sén	Département Ardèche
Jena	Jena
Kursk-chû	Oblast Kursk
Ariège-sén	Département Ariège
Aude-sén	Département Aude
Aveyron-sén	Département Aveyron
Sîn Nàm Vî-ngì-sṳ̂-chû	New South Wales
Bouches-du-Rhône-sén	Département Bouches-du-Rhône
Àu-thai-li-â Sú-tû Liâng-thi	Australian Capital Territory
Cantal-sén	Département Cantal
Belgorod-chû	Oblast Belgorod
Côte-d'Or-sén	Département Côte-d’Or
Côtes-d'Armor-sén	Département Côtes-d’Armor
Drôme-sén	Département Drôme
Finistère-sén	Département Finistère
Voronezh-chû	Oblast Woronesch
Sû-mùn-tap-lia̍p	Sumatra
Lipetsk-chû	Oblast Lipezk
Van-tan-sén	Banten
Chûng Cháu-ôa-sén	Jawa Tengah
Fùi-sên	Komet
Rostov-chû	Oblast Rostow
Tûng Cháu-ôa-sén	Jawa Timur
Ngâ-kâ-tha̍t Sú-tû Thi̍t-khî	Jakarta
Sî Cháu-ôa-sén	Jawa Barat
Adygea Khiung-fò-koet	Adygeja
Ngit-ngiâ Thi-fông Thi̍t-khî	Yogyakarta
Gera	Gera
Maykop	Maikop
Cháu-ôa-tó	Java (Insel)
Kâ-lî-man-tân-chû	Kalimantan
Séu Sùn-thâ Khiùn-tó	Kleine Sundainseln
Sû-lâ-vî-sî-tó	Sulawesi
Mô-lu̍k-kâ Khiùn-tó	Molukken
Chûng Kâ-lî-man-tân-sén	Kalimantan Tengah
Tûng Kâ-lî-man-tân-sén	Kalimantan Timur
Nàm Kâ-lî-man-tân-sén	Kalimantan Selatan
Kâ-li-sî-â	Galicien
Sî Kâ-lî-man-tân-sén	Kalimantan Barat
Thai-ho̍k	Universität
Pretoria	Pretoria
Chok-khiù	Tischtennis
Â-sṳ̂-thù-lî-â-sṳ̂	Asturien
Wikipedia:Sandbox	Wikipedia:Spielwiese
Astrakhan-chû	Oblast Astrachan
Kham-thap-pu-lî-â	Kantabrien
Kalmykia Khiung-fò-koet	Kalmückien
Weimar	Weimar
Osasco	Osasco
Â-là-kung	Aragonien
Kak-là-sṳ̂-kô	Glasgow
Thùng-hói Kî-chhòng	Flughafen Dong Hoi
Vú-lîn-ngièn Fûng-kín Miàng-sṳn-khî	Wulingyuan
分類:Thòi-vân li̍t-sṳ́	Kategorie:Taiwanische Geschichte
Curitiba	Curitiba
Chloë Grace Moretz	Chloë Grace Moretz
Khûng-chṳ́	Konfuzius
Corbin Bleu	Corbin Bleu
分類:Sṳ-ho̍k	Kategorie:Mathematik
分類:Ngìn-kûng ngî-ngièn	Kategorie:Konstruierte Sprache
Pâ-lî-sén	Bali
Mî-kîm	US-Dollar
Thi-chûng-hói	Mittelmeer
Hông-chû-sṳ	Hangzhou
Kî-tuk-kau	Christentum
Tûng Nú-sâ Tên-kâ-là-sén	Nusa Tenggara Timur
Sî Nú-sâ Tên-kâ-là-sén	Nusa Tenggara Barat
Chûng Sû-lâ-vî-sî-sén	Sulawesi Tengah
Kô-lùn-tá-lo̍k-sén	Gorontalo
Pet Sû-lâ-vî-sî-sén	Sulawesi Utara
Tûng-nàm Sû-lâ-vî-sî-sén	Sulawesi Tenggara
Nàm Sû-lâ-vî-sî-sén	Sulawesi Selatan
