IAfrika	Afrika
Category:Ubezalwa ngo-1946	Kategorie:Geboren 1946
Category:Ubezalwa ngo-1924	Kategorie:Geboren 1924
Category:Ukuzala ngo-1964	Kategorie:Geboren 1964
Template:Frac	Vorlage:Bruch
Template:MedalGold	Vorlage:MedalGold
Template:MedalBronze	Vorlage:MedalBronze
Template:MedalSilver	Vorlage:MedalSilver
Template:Wayback	Vorlage:Webarchiv
Template:MutopiaComposer	Vorlage:Mutopia
Template:MedalCountry	Vorlage:MedalCountry
Template:Discogs artist	Vorlage:Discogs
Special:RecentChanges	Spezial:Letzte Änderungen
