აფრიკა	Afrika
დეივიდ ჰერბერტ ლორენსი	D. H. Lawrence
აიზეკ აზიმოვი	Isaac Asimov
ჟუან გულარტი	João Goulart
ტრინიდადი (ბოლივია)	Trinidad (Bolivien)
თორა	Tora
კურმაიორი	Courmayeur
კობიხა	Cobija (Bolivien)
აზოვის ზღვა	Asowsches Meer
ლისმორი	Lismore (New South Wales)
ტარიხა	Tarija
1970-იანები	1970er
2000-იანები	2000er
უილიამ მაკ-კინლი	William McKinley
პოტოსი	Potosí
კობრისებრნი	Karpfenfische
აგათა კრისტი	Agatha Christie
აშშ-ის პრეზიდენტების სია	Liste der Präsidenten der Vereinigten Staaten
სამხრეთი გეორგია და სამხრეთ სენდვიჩის კუნძულები	Südgeorgien und die Südlichen Sandwichinseln
მსოფლიოს ქვეყნების დედაქალაქების სია	Liste der Hauptstädte der Erde
ანდაზა	Sprichwort
მარდი გრა	Mardi Gras
საიტი	Website
ვილჰელმ რენტგენი	Wilhelm Conrad Röntgen
ოდისეა	Odyssee
გროვერ კლივლენდი	Grover Cleveland
ელ-ქუვეითი	Kuwait-Stadt
ვენეციის კარნავალი	Karneval in Venedig
ჯოუს დინასტია	Zhou-Dynastie
იდო	Ido (Sprache)
ეშმაკი	Satan
რიო-დე-ჟანეიროს კარნავალი	Karneval in Rio
ჰერბერტ ჰუვერი	Herbert Hoover
ეტიმოლოგია	Etymologie
ორურო	Oruro
პუმა	Puma
ძვ. წ. 44	44 v. Chr.
იეჰოვას მოწმეები	Zeugen Jehovas
ხინალუღური ენა	Chinalugische Sprache
უორენ გამალიელ ჰარდინგი	Warren G. Harding
387	387
ნიკიტა ხრუშჩოვი	Nikita Sergejewitsch Chruschtschow
არაბები	Araber
ბრედ პიტი	Brad Pitt
ტიტიკაკა	Titicacasee
შუმერი	Sumer
გრადიშულ-ხორვატული ენა	Burgenlandkroatische Sprache
მარმარილოს ზღვა	Marmarameer
კოლომბო	Colombo
ასტურ-ლეონური ლინგვისტური ჯგუფი	Asturleonesische Sprache
ფონეტიკა	Phonetik
ოჯახი (ბიოლოგია)	Familie (Biologie)
იერუსალემ პოსტი	The Jerusalem Post
ელამური ენა	Elamische Sprache
ფანჯარა	Fenster
მედინა	Medina
ალმათი	Almaty
ძვ. წ. 242	242 v. Chr.
ძველი ბერძნული ენა	Altgriechische Sprache
ჩესტერ ართური	Chester A. Arthur
ძველი საეკლესიო სლავური ენა	Altkirchenslawische Sprache
აფროდიტე	Aphrodite
ძვ. წ. 248	248 v. Chr.
ძველსკანდინავიური ენა	Altnordische Sprache
მღვიმე	Höhle
ძვ. წ. 258	258 v. Chr.
ძვ. წ. 257	257 v. Chr.
ლოსი	Elch
აქადური ენა	Akkadische Sprache
ძვ. წ. 253	253 v. Chr.
თეთრი სახლი	Weißes Haus
ძვ. წ. 246	246 v. Chr.
ძვ. წ. 245	245 v. Chr.
პოლიცია	Polizei
ძვ. წ. 249	249 v. Chr.
ძვ. წ. 252	252 v. Chr.
პოლ სეზანი	Paul Cézanne
უოლისი და ფუტუნა	Wallis und Futuna
ძვ. წ. 240	240 v. Chr.
ძვ. წ. 254	254 v. Chr.
თათრები	Tataren
ძვ. წ. 256	256 v. Chr.
უეფა	UEFA
ძვ. წ. 251	251 v. Chr.
ჰოკაიდო	Hokkaidō
ძვ. წ. 250	250 v. Chr.
ძვ. წ. 244	244 v. Chr.
ტიგრი	Tigris
ძვ. წ. 243	243 v. Chr.
ურალის მთები	Ural
ძვ. წ. 255	255 v. Chr.
ართურ კონან დოილი	Arthur Conan Doyle
ესპანეთის სეგუნდა დივიზიონი	Segunda División
ნობელის პრემიის ლაურეატები მშვიდობის განმტკიცების დარგში	Friedensnobelpreis
პენინის მთები	Pennines
უილიამ ჰოვარდ ტაფტი	William Howard Taft
აშშ-ის ადმინისტრაციული დაყოფა	Bundesstaat der Vereinigten Staaten
მყინვარი	Gletscher
გეეზი	Altäthiopische Sprache
ხეთური ენა	Hethitische Sprache
პიტკერნის კუნძულები	Pitcairninseln
ბენჯამინ ჰარისონი	Benjamin Harrison
ტარდისი	TARDIS
რეზერფორდ ჰეისი	Rutherford B. Hayes
იაგუარი	Jaguar
1930-იანები	1930er
გერტრუდ ელიონი	Gertrude Belle Elion
სამხრეთი ავსტრალია	South Australia
დათო ტურაშვილი	Dawit Turaschwili
1960-იანები	1960er
ეტრუსკული ენა	Etruskische Sprache
1920-იანები	1920er
ყივრული ენა	Judäo-Georgisch
ფრიდა	Frida (Film)
ხურიტული ენა	Hurritische Sprache
პარლამენტი	Parlament
ესე	Essay
ოსაკა	Ōsaka
ძვ. წ. 247	247 v. Chr.
Safari	Safari (Browser)
ბოისე	Boise
ლომი II (ჯუჯა გალაქტიკა)	Leo-II-Zwerggalaxie
ელ-ბაიდა	Al-Baida
მასაი (ენა)	Maa
სექსი დიდ ქალაქში	Sex and the City
კემბრიჯის უნივერსიტეტი	University of Cambridge
ბარუხ სპინოზა	Baruch de Spinoza
ხველა	Husten
ზარათუშტრა	Zarathustra
ძვ. წ. 259	259 v. Chr.
ძმები რაიტები	Brüder Wright
რიო-დე-ლა-პლატა	Río de la Plata
ძილი	Schlaf
ჰექტარი	Hektar
ბაპტიზმი	Taufe
ინფლაცია	Inflation
იუმორი	Humor
გუარანის ენა	Guaraní (Sprache)
ყირგიზული სომი	Som
არალის ზღვა	Aralsee
Lamborghini	Lamborghini
ომარ ხაიამი	Omar Khayyām
პომოლოგია	Pomologie
ბამბუკი (გვარი)	Bambuseae
კონგო (მრავალმნიშვნელოვანი)	Congo
კორინთიანსი	Corinthians São Paulo
ინტერლინგვა	Interlingua
პოლინეზია	Polynesien
ბოსფორი	Bosporus
კელტები	Kelten
ილირიული ენა	Illyrische Sprache
ესთეტიკა	Ästhetik
Maybach	Maybach-Motorenbau
იზმირი	Izmir
ქოქოსის კუნძულები	Kokosinseln
Mercedes-Benz	Mercedes-Benz
ხო ში მინი	Hồ Chí Minh
კალვინ კულიჯი	Calvin Coolidge
ხუანშანი	Huang Shan
ლვოვი	Lwiw
ტირიფი	Weiden (Botanik)
კუინზლენდი	Queensland
მინეაპოლისი	Minneapolis
ლილო და სტიჩი	Lilo & Stitch
ლიდიური ენა	Lydische Sprache
ჩანთოსანი დათვები	Koala
მუჰამედ ალი	Muhammad Ali
მაიტილი	Maithili
კალიმანტანი	Borneo
ორგანული არქიტექტურა	Organische Architektur
გიბრალტარის სრუტე	Straße von Gibraltar
ნიადაგი	Boden (Bodenkunde)
ლეღვი	Echte Feige
დუკები	Dukas (Familie)
ბიონსე ნოულსი	Beyoncé Knowles
კოპტური ენა	Koptische Sprache
აღმოსავლეთ ყაზახეთის ოლქი	Ostkasachstan
ლებრონ ჯეიმზი	LeBron James
ჰოი-ანი	Hội An
სიმრავლე	Menge (Mathematik)
კურმანჯი	Kurmandschi
ჰუე	Huế
ბრიჯტაუნი (ბარბადოსი)	Bridgetown
ელ-აბრაკის საერთაშორისო აეროპორტი	La Abraq International Airport
კარლ II (ესპანეთი)	Karl II. (Spanien)
მწერალი	Schriftsteller
ფოლკლორი	Folklore
ლადინო	Juden-Spanisch
ლადინური ენა	Ladinische Sprache
მიწისძვრა წყნარ ოკეანეში ტოჰოკუს რეგიონთან	Tōhoku-Erdbeben 2011
ლაკური ენა	Lakische Sprache
პუერტო-მონტი	Puerto Montt
მარკ ცუკერბერგი	Mark Zuckerberg
ან-ნოფალია	An-Nufalija
მარსა-ელ-ბურეიკა	Brega (Libyen)
ნაცვალსახელი	Pronomen
ვაცლავ ჰაველი	Václav Havel
კარლ III (ესპანეთი)	Karl III. (Spanien)
მალაიალამური ენა	Malayalam
ახალზელანდიური ნიშნების ენა	Neuseeländische Gebärdensprache
ხმოვანი	Vokal
სიგრძე	Länge (Physik)
აპია	Apia
სენტ-ჯონზი (ანტიგუა და ბარბუდა)	Saint John’s (Antigua und Barbuda)
ბრიჟიტ ბარდო	Brigitte Bardot
ბიოგრაფია	Biografie
როზო	Roseau
აბრეშუმის დიდი გზა	Seidenstraße
დაიანა როსი	Diana Ross
ჰისტონები	Histon
1950-იანები	1950er
ენ ჰეთეუეი	Anne Hathaway
თალესი	Thales
ალესანდრო მატრი	Alessandro Matri
სალტა (ქალაქი)	Salta (Stadt)
კალგარი	Calgary
ჯეინ ოსტინი	Jane Austen
კონგოს დემოკრატიული რესპუბლიკა 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Olympische Sommerspiele 2012/Teilnehmer (Demokratische Republik Kongo)
ჯორდანო ბრუნო	Giordano Bruno
იგუასუს ჩანჩქერი	Iguazú-Wasserfälle
მურა დათვი	Braunbär
სიზმარი	Traum
ხამურაბი	Hammurapi I. (Babylon)
ქურთული ენა	Kurdische Sprachen
ფრიბური	Freiburg im Üechtland
იეზუიტთა ორდენი	Jesuiten
ლოთარ მათეუსი	Lothar Matthäus
მოლდავური ენა	Moldauische Sprache
საშუალო ინგლისური ენა	Mittelenglisch
ვირთაგვა	Ratten
აბერდინი	Aberdeen
ნეოლითის ხანა	Jungsteinzeit
პორტუ	Porto
პოლიტიკური მეცნიერება	Politikwissenschaft
ეკატერინე II	Katharina II. (Russland)
მაორი ენა	Maorische Sprache
ჰანიბალი	Hannibal
მრავალუჯრედიანი ორგანიზმები	Vielzeller
ერთუჯრედიანი ორგანიზმები	Einzeller
გრძედი	Geographische Länge
მეფე ლომი	Der König der Löwen
იონი	Ion
აღულური ენა	Aghulische Sprache
ფრენსის დრეიკი	Francis Drake
პორტ-მორზბი	Port Moresby
ქარაჯი	Karadsch
ქიმიური რეაქცია	Chemische Reaktion
.ru	.ru
.ad	.ad
1940-იანები	1940er
ტელუკ-ჩენდერვასიჰის ეროვნული პარკი	Nationalpark Teluk Cenderawasih
1900-იანები	1900er
1910-იანები	1910er
ვლადიმერ ნაბოკოვი	Vladimir Nabokov
ჰააგა	Den Haag
რიგი (ბიოლოგია)	Ordnung (Biologie)
ვასურის ეროვნული პარკი	Nationalpark Wasur Rawa Biru
გორილა	Gorillas
ბინომიალური ნომენკლატურა	Binäre Nomenklatur
კორკი	Cork
სახვითი ხელოვნება	Bildende Kunst
ჰენრიკ იბსენი	Henrik Ibsen
ზაფხულის დრო	Sommerzeit
მდინარე იორდანეს დასავლეთი ნაპირი	Westjordanland
ვიქტორიას შტატი	Victoria (Australien)
იუგოსლავია	Jugoslawien
ნორნი	Norn
ატილა	Attila
ოსმალური ენა	Osmanische Sprache
ფინიკიური ენა	Phönizisch-punische Sprache
ფოსტალიონი ყოველთვის ორჯერ რეკავს (1981 წლის ფილმი)	Wenn der Postmann zweimal klingelt (Film)
აუნ სან სუ ჩი	Aung San Suu Kyi
პოლაბური ენა	Polabische Sprache
რაპანუი (ენა)	Rapanui (Sprache)
ინდიელები	Indianer
ლუდის პუტჩი	Hitlerputsch
სინის ნახევარკუნძული	Sinai-Halbinsel
რუთულური ენა	Rutulische Sprache
დავით IV აღმაშენებელი	Dawit IV. der Erbauer
იოანეს სახარება	Evangelium nach Johannes
რობერტ პატინსონი	Robert Pattinson
ვებგვერდი	Webseite
საფრანგეთის რეგიონები	Region (Frankreich)
აბდ ალ-მალიქი	Abd al-Malik (Umayyaden)
შუმერული ენა	Sumerische Sprache
თრაკიული ენა	Thrakische Sprache
ოთხკუთხედი	Viereck
სორანი	Sorani
სლოვინცური ენა	Slowinzische Sprache
ტოკელაუ	Tokelau
კომპოზიტორი	Komponist
რიანა	Rihanna
წახური ენა	Tsachurische Sprache
ღორის გრიპი	Schweineinfluenza
ფრჩხილი	Nagel (Anatomie)
უდიური ენა	Udische Sprache
დედაენა	Muttersprache
რასულ ჰამზათოვი	Rassul Gamsatowitsch Gamsatow
ალპინიზმი	Bergsteigen
უგარითული ენა	Ugaritische Sprache
ოზონი	Ozon
ურარტული ენა	Urartäische Sprache
სალვადორი (ბრაზილია)	Salvador (Bahia)
რობერტ დე ნირო	Robert De Niro
კეთრი	Lepra
ნადირობა	Jagd
ჯეკი ჩანი	Jackie Chan
აბანოთუბანი	Abanotubani
ვოლაპიუკი	Volapük
პარდუბიცე	Pardubice
წმინდა სამების საკათედრო ტაძარი	Sameba-Kathedrale
თავისუფლების მოედანი (თბილისი)	Tawisuplebis Moedani
მიფუნე ტოსირო	Toshirō Mifune
თბილისის მეტროპოლიტენი	Metro Tiflis
თბილისის სახელმწიფო უნივერსიტეტი	Staatliche Universität Tiflis
ჯანჯაფილისებრნი	Ingwergewächse
სერბეთი და ჩერნოგორია	Serbien und Montenegro
თომას მანი	Thomas Mann
რეკლამა	Werbung
ბაფინის ზღვა	Baffin Bay
ტალაჰასი	Tallahassee
ლუო (ხალხი)	Luo (Ethnie)
ტაიმირის ნახევარკუნძული	Taimyrhalbinsel
ჟოზე სარამაგო	José Saramago
იოანე VIII (ბიზანტია)	Johannes VIII. (Byzanz)
ანდრონიკე III (ბიზანტია)	Andronikos III. (Byzanz)
ელიგზანდერ ფლემინგი	Alexander Fleming
ალექსი III (ბიზანტია)	Alexios III. (Byzanz)
ბისმარკი (ჩრდილოეთი დაკოტა)	Bismarck (North Dakota)
ანდრონიკე II პალეოლოგოსი	Andronikos II. (Byzanz)
რომანტიზმი	Romantik
ალექსი IV ანგელოსი	Alexios IV. (Byzanz)
იოანე V პალეოლოგოსი	Johannes V. (Byzanz)
იოანე III დუკა ვატაცე	Johannes III. (Byzanz)
პოპ-მუსიკა	Popmusik
იოანე VII (ბიზანტია)	Johannes VII. (Byzanz)
ალექსი V (ბიზანტია)	Alexios V.
ანდრონიკე IV (ბიზანტია)	Andronikos IV.
ტომ კრუზი	Tom Cruise
ბავშვთა დაცვის საერთაშორისო დღე	Kindertag
თეოდორე II ლასკარისი	Theodor II. (Byzanz)
იოანე VI (ბიზანტია)	Johannes VI. (Byzanz)
სოლომონ მეფე	Salomo
თეოდორე I ლასკარისი	Theodor I. (Byzanz)
იოანე IV ლასკარისი	Johannes IV. (Byzanz)
სამება	Dreifaltigkeit
კონსტანტინე ლასკარისი (იმპერატორი)	Konstantin (XI.) Laskaris
Yahoo!	Yahoo
30 თებერვალი	30. Februar
მანუელ II პალეოლოგოსი	Manuel II. (Byzanz)
მიხეილ IX (ბიზანტია)	Michael IX.
ოკლენდი	Auckland
რიფის რესპუბლიკა	Rif-Republik
წრფე	Gerade
ფარაონი	Pharao
გულბარგა	Gulbarga
აკ-47	AK-47
331	331
ათენა	Athene
მეთანი	Methan
მარიუპოლი	Mariupol
ფრიდრიხ ვილჰელმ III (პრუსია)	Friedrich Wilhelm III. (Preußen)
ისააკ II ანგელოსი	Isaak II.
კონტრალტო	Kontra-Alt
365	365
კონსტანტინე XI (ბიზანტია)	Konstantin XI.
დიდი რვიანი	G8
ატომის ბირთვი	Atomkern
Born to Die (ლანა დელ რეის ალბომი)	Born to Die (Album)
ლანა დელ რეი	Lana Del Rey
სუნ ძი	Sunzi
379	379
IBM	IBM
Starbucks	Starbucks
რძიანი კოქტეილი	Milchshake
.fi	.fi
ტალღა	Welle
ჯონი დეპი	Johnny Depp
ლუის ინასიუ ლულა და სილვა	Luiz Inácio Lula da Silva
ერითროციტები	Erythrozyt
რობერტ კოხი	Robert Koch
ხეოფსის პირამიდა	Cheops-Pyramide
თედორე ტიუტჩევი	Fjodor Iwanowitsch Tjuttschew
დიამეტრი	Durchmesser
ბაგრატის ტაძარი	Bagrati-Kathedrale
მასწავლებელი	Lehrer
ცენტრალური სადაზვერვო სააგენტო	Central Intelligence Agency
.ae	.ae
.am	.am
.de	.de
დამწერლობა	Schreiben
.fr	.fr
იოანე პავლე I	Johannes Paul I.
მსოფლიო საფეხბურთო ჩემპიონატი 2006	Fußball-Weltmeisterschaft 2006
რამაიანა	Ramayana
სულიწმინდა	Heiliger Geist
კინოფილმების ინტერნეტ-მონაცემთა ბაზა	Internet Movie Database
კლივლენდი	Cleveland
სემიუელ ბეკეტი	Samuel Beckett
ლუბლინი	Lublin
აპოლონი	Apollon
დალაი-ლამა	Dalai Lama
ჯონ მაიკლ ტელბოტი	John Michael Talbot
აკროტირი და დეკელია	Akrotiri und Dekelia
არარა (პარაიბა)	Arara (Paraíba)
არაქისი	Erdnuss
ფრენსის ბეკონი	Francis Bacon
მელანეზია	Melanesien
ნაიფიიდო	Naypyidaw
.af	.af
.au	.au
სინტაქსი	Syntax
საფოსტო ინდექსი	Postleitzahl
გარგარი	Aprikose
ნიკოლ კიდმანი	Nicole Kidman
პიერ კიური	Pierre Curie
გაეროს უშიშროების საბჭო	Sicherheitsrat der Vereinten Nationen
ნისლი	Nebel
ეპოსი	Epos
ძველდანიური მეძებარი	Altdänischer Vorstehhund
იონიის ზღვა	Ionisches Meer
სათვალე	Brille
ასანთი	Streichholz
ამერიკული შიშველი ტერიერი	American Hairless Terrier
ამერიკული ტოი ტერიერი	American Toy Terrier
კლასი (ბიოლოგია)	Klasse (Biologie)
ავსტრალიური კელპი	Australian Kelpie
ავსტრალიური აბრეშუმისებრი ტერიერი	Australian Silky Terrier
გლუკოზა	Glucose
ავსტრალიური ტერიერი	Australian Terrier
.cz	.cz
.ag	.ag
ასტროფიზიკა	Astrophysik
ბოსტონ-ტერიერი	Boston Terrier
მრავალკუთხედი	Polygon
ბორდერ-ტერიერი	Border Terrier
არტეზიანულ-ნორმანდიული ბასეტი	Basset artésien normand
დონატელო	Donatello
ბოლონიეზი	Bologneser
ჯექსონ პოლოკი	Jackson Pollock
ჟან კალვინი	Johannes Calvin
ბედლინგტონ ტერიერი	Bedlington Terrier
ბარბეტი	Barbet
წმინდა ვალენტინის დღე	Valentinstag
უილიამ I დამპყრობელი	Wilhelm I. (England)
ავსტრალიური კეტლ დოგი	Australian Cattle Dog
სეტყვა	Hagel
ამერიკული ბულდოგი	American Bulldog
ბერნული ზენენჰუნდი	Berner Sennenhund
დავიდ ბენ-გურიონი	David Ben-Gurion
ამერიკული პიტ ბულ ტერიერი	American Pit Bull Terrier
ლუჩანო პავაროტი	Luciano Pavarotti
ერდელტერიერი	Airedale Terrier
წვერიანი კოლი	Bearded Collie
შელდა	Schelde
ტომას ჰობზი	Thomas Hobbes
მილა კუნისი	Mila Kunis
ავსტრალიური ნაგაზი	Australian Shepherd
ბურბონული ბრაკი	Braque du Bourbonnais
პიკარდიული ნაგაზი	Berger de Picardie
ძვ. წ. 43	43 v. Chr.
ორბიტალური პერიოდი	Umlaufzeit
სპარსეთის ყურის ომი (1990-1991)	Zweiter Golfkrieg
კა დე ბასტიარი	Ca de Bestiar
დუნკერი	Dunker
ბაზარი	Markt
სენ-ჟერმენული ბრაკი	Braque Saint-Germain
სამხრეთ ჩინეთის ზღვა	Südchinesisches Meer
არიეჟული ბრაკი	Braque de l’Ariège
ჩეხური ფოუსეკი	Český fousek
კამპორა-სან-ჯოვანი	Campora San Giovanni
კა დე ბო	Ca de Bou
ფრანსისკო სოლანო ლოპესი	Francisco Solano López
აბრეშუმი	Seide
სეჯონ დიდი	Sejong
ქამელეონები	Chamäleons
ამერიკული სტაფორდშირის ტერიერი	American Staffordshire Terrier
პოლ გოგენი	Paul Gauguin
აპენცელერ ზენენჰუნდი	Appenzeller Sennenhund
ბლუმფონტეინი	Bloemfontein
ძველინგლისური ნაგაზი	Bobtail
ჰაიკუ	Haiku
ბორდერ-კოლი	Border Collie
.at	.at
ბოსერონი	Beauceron
კაროლინური ძაღლი	Carolina Dog
ჩინუკი	Chinook (Hunderasse)
სახმელეთო ჯარები	Heer
უსმან იბნ აფანი	ʿUthmān ibn ʿAffān
დემოგრაფია	Demografie
პორტუგალიური ნაგაზი	Cão da Serra de Aires
ჩრდილოეთი კავკასია	Nordkaukasus
ფეოდალიზმი	Feudalismus
ქრომოსომა	Chromosom
კანარის დოგი	Dogo Canario
პოდენკო იბისენკო	Podenco Ibicenco
ლეგირება	Legierung
ტომას სტერნზ ელიოტი	T. S. Eliot
ბეზანსონი	Besançon
ინგლისური ტოი-ტერიერი	English Toy Terrier
შარლოტის ქსელი (1973 წლის ფილმი)	Zuckermanns Farm – Wilbur im Glück
პირენეული ნაგაზი	Berger des Pyrénées
გერმანული პინჩერი	Deutscher Pinscher
ბელცი	Bălți
პირენეული მთის ძაღლი	Chien de Montagne des Pyrénées
პორტ-ვილა	Port Vila
ფილა ბრაზილეირო	Fila Brasileiro
ეკოსისტემა	Ökosystem
ლაკენუა	Laekenois
ოკლენდის დაწყებითი სკოლა	Auckland Grammar School
ბრიარი	Briard
ტუინის ჩანჩქერი (ჩრდილოეთი ტერიტორია)	Twin Falls (Australien)
მაცივარი	Kühlschrank
მილუოკი	Milwaukee
ალთაური ენები	Altaische Sprachen
ბაროკო	Barock
აზავაკი	Azawakh
.us	.us
წყალმცენარეები	Alge
ბასენჯი	Basenji
ნატალი პორტმანი	Natalie Portman
ბორდოული დოგი	Dogue de Bordeaux
.es	.es
კერნ-ტერიერი	Cairn Terrier
.gr	.gr
გერმანული იაგდტერიერი	Deutscher Jagdterrier
სრუტე	Meerenge
.pl	.pl
არგენტინული დოგი	Dogo Argentino
.uk	.uk
ნობელის პრემია ლიტერატურის დარგში	Nobelpreis für Literatur
დირჰაუნდი	Deerhound
საფოსტო მარკა	Briefmarke
ბატატი	Süßkartoffel
ესპანური მასტიფი	Mastín Español
ევრაზიერი	Eurasier (Hunderasse)
კარელიის სადათვე ძაღლი	Karelischer Bärenhund
საპორო	Sapporo
კრაშის ნაგაზი	Karst-Schäferhund
ყვითელი ზღვა	Gelbes Meer
მინიატურული ბულტერიერი	Miniature Bull Terrier
ჰოლანდიური სმაუსჰონდი	Hollandse Smoushond
გრეგორ მენდელი	Gregor Mendel
ლანკაშირული ჰილერი	Lancashire Heeler
იაპონური ტერიერი	Japanischer Terrier
აკიჰიტო	Akihito
კარინტია	Kärnten
ენტლებუხერ-ზენენჰუნდი	Entlebucher Sennenhund
ლერჩერი	Lurcher
იანგონი	Rangun
ძვ. წ. 63	63 v. Chr.
ჰერა	Hera
სენტ-ლუისი	St. Louis
კერი-ბლუ ტერიერი	Kerry Blue Terrier
თანხმოვანი	Konsonant
რბილბალნიანი ხორბლისფერი ტერიერი	Irish Soft Coated Wheaten Terrier
გალია	Gallien
ეგზისტენციალიზმი	Existentialismus
McDonald's	McDonald’s
ბულმასტიფი	Bullmastiff
კურცჰაარი	Deutsch Kurzhaar
პარაიბა	Paraíba
სენბერნარი	Bernhardiner
გალაპაგოსის კუნძულები	Galapagosinseln
ეშტრელის ნაგაზი	Cão da Serra da Estrela
კაო დე კასტრო ლაბორეირო	Cão de Castro Laboreiro
შვედური ელკჰაუნდი	Jämthund
ლეიკლენდ-ტერიერი	Lakeland Terrier
ლეონარდო დიკაპრიო	Leonardo DiCaprio
ასპექტი	Aspekt
პაპილიონი	Kontinentaler Zwergspaniel
დენიელ რედკლიფი	Daniel Radcliffe
დიდი შვეიცარიული ზენენჰუნდი	Grosser Schweizer Sennenhund
ერთა ლიგა	Völkerbund
ხიბინები	Chibinen
მარსელო ვიეირა და სილვა ჟუნიორი	Marcelo da Silva Júnior
სამურაი	Samurai
აფრიკანისტიკა	Afrikanistik im deutschen Sprachraum
პორტუგალიური მეძებარი	Perdigueiro Português
ძვ. წ. 31	31 v. Chr.
გლენ ოფ იმაალ ტერიერი	Irish Glen of Imaal Terrier
არტურ შოპენჰაუერი	Arthur Schopenhauer
ესპანური მეძებარი	Perdiguero de Burgos
ჯორჯ ლუკასი	George Lucas
კაი	Kai (Hunderasse)
ლაბრადუდლი	Labradoodle
ნაგასაკი (ქალაქი)	Nagasaki
ბერგამასკო	Bergamasker Hirtenhund
აინტრახტი ფრანკფურტი (საფეხბურთო კლუბი)	Eintracht Frankfurt
იტალიური ბრაკი	Bracco Italiano
ენია	Enya
ჩირნეკო დელ ეტნა	Cirneco dell’Etna
ბრიტანეთის კუნძულები	Britische Inseln
გერმანული ნაგაზი	Deutscher Schäferhund
იოკოჰამა	Yokohama
ჯეკ რასელ ტერიერი	Jack Russell Terrier
.al	.al
.ar	.ar
მორფოლოგია (ენათმეცნიერება)	Morphologie (Linguistik)
ბულტერიერი	Bullterrier
ჟუმბილია	Yumbilla
1840-იანები	1840er
დენდი დინმონტ ტერიერი	Dandie Dinmont Terrier
ალექსანდრ დიუმა (უფროსი)	Alexandre Dumas der Ältere
ტიპი (ბიოლოგია)	Stamm (Biologie)
დობერმანი	Dobermann
ჰოვავარტი	Hovawart
ჰენრი VIII	Heinrich VIII. (England)
ანჟე	Angers
ინგლისური ბულდოგი	Englische Bulldogge
მანჩესტერული ტერიერი	Manchester Terrier
უილიამ ფოლკნერი	William Faulkner
გრიუნენდალი	Groenendael
კრომფორლენდერი	Kromfohrländer
აუტიზმი	Autismus
.az	.az
ბოიომის ჩანჩქერი	Boyomafälle
ინგლისური მასტიფი	Mastiff (Hunderasse)
ავსტრიული პინჩერი	Österreichischer Pinscher
რეტ ტერიერი	Rat Terrier
ნიუტონის კანონები	Newtonsche Gesetze
კოლუმბია (სამხრეთი კაროლინა)	Columbia (South Carolina)
კუვასი	Kuvasz
ნორვეგიული ბუჰუნდი	Norwegischer Buhund
რომანო პროდი	Romano Prodi
ლეონბერგერი	Leonberger
მალინუა	Malinois
ბოქსიორი	Deutscher Boxer
The Pineapple Thief	The Pineapple Thief
კანგალი	Kangal (Hunderasse)
ტურკუ	Turku
მასტინო ნაპოლეტანო	Mastino Napoletano
ინგლისური კოკერ-სპანიელი	English Cocker Spaniel
ხორვატული ნაგაზი	Hrvatski ovčar
ადანა	Adana
სანტა-ფე (ნიუ-მექსიკო)	Santa Fe (New Mexico)
შუა აზიური ნაგაზი	Zentralasiatischer Owtscharka
გრეიჰაუნდი	Greyhound (Hunderasse)
ნაგაზი	Kaukasischer Owtscharka
დინგო	Dingo
დასავლეთი პროვინცია (კენია)	Western (Kenia)
რიფტ-ველის პროვინცია	Rift Valley (Kenia)
ნიანზის პროვინცია	Nyanza (Kenia)
დევანაგარი	Devanagari
ქანაანის ძაღლი	Canaan Dog
დოგები	Molosser (Hund)
ბრაზილიური ტერიერი	Terrier Brasileiro
ჩეხური ტერიერი	Tschechischer Terrier
ირლანდიური ტერიერი	Irish Terrier
საზამთრო	Wassermelone
პეტრე-პავლეს ციხესიმაგრე	Peter-und-Paul-Festung
გრძელბალნიანი კოლი	Langhaarcollie
ჩეხოსლოვაკიური მგლის ძაღლი	Tschechoslowakischer Wolfhund
გერმანული შპიცი	Deutsche Spitze
ირლანდიური მგლის მახრჩობელა	Irischer Wolfshund
1880-იანები	1880er
კომონდორი	Komondor
ტერვიურენი	Tervueren
ბენგალის ყურე	Golf von Bengalen
მუდი	Mudi
მოპსი	Mops
ნიუფაუნდლენდი (ძაღლი)	Neufundländer
ისლანდიური ძაღლი	Islandhund
ქარის წისქვილი	Windmühle
ლაბრადორ რეტრივერი	Labrador Retriever
სმოლანდსტევარე	Smålandsstövare
მალტეზე	Malteser (Hunderasse)
ბერტოლტ ბრეხტი	Bertolt Brecht
ირლანდიური სეტერი	Irish Red Setter
პირენეული მასტიფი	Mastín del Pirineo
რიხტერის სკალა	Richterskala
მონადირე ძაღლები	Jagdhund
ტორპედო ქუთაისი (საფეხბურთო კლუბი)	Torpedo Kutaissi
უელშ კორგი პემბროკი	Welsh Corgi Pembroke
სტალინგრადის ბრძოლა	Schlacht von Stalingrad
გლუვბალნიანი კოლი	Kurzhaarcollie
ჰიტლერიუგენდი	Hitlerjugend
ჰამასი	Hamas
პატერდეილ-ტერიერი	Patterdale Terrier
ნორვეგიული ელკჰაუნდი	Norwegischer Elchhund grau
სუვა	Suva
ფარაონის ძაღლი	Pharaonenhund
რედბონ-კუნჰაუნდი	Redbone Coonhound
რუჰოლა ხომეინი	Ruhollah Chomeini
ნუკუალოფა	Nukuʻalofa
პოლონური ნაგაზი	Polski Owczarek Nizinny
