अफ्रीका	Afrika
१९३५	1935
सन् १९३४	1934
न्युक्यासल युनाइटेड फुटबल क्लब	Newcastle United
सन् १९३३	1933
सन् १९३२	1932
टाडी निरबिरालो	Fleckenmusang
सन् १९३१	1931
सन् १९३०	1930
बकुल्लो	Reiher
सन् १९२९	1929
फ्रान्स मेरिङ	Franz Mehring
प्योङ्गयाङ्ग	Pjöngjang
नयाँ करार	Neues Testament
जेस्सी जे	Jessie J
गंगाचीलठुँडे फ्यालफ्याले	Lachseeschwalbe
फुस्रे सर्षपी	Kiebitzregenpfeifer
सानो गट्टेबट्टाई	Laufhühnchen (Art)
वन सुड्सुडिया	Bruchwasserläufer
टिमटिमा	Grünschenkel
मलगुझा	Uferschnepfe
बगाले सिमकुखुरा	Teichralle
चञ्चले सुड्सुडिया	Flussuferläufer
लघु राजपुत्रिका	Flussregenpfeifer
आँसीठुँडे	Großer Brachvogel
अलकचन्द्र राजपुत्रिका	Seeregenpfeifer
फालीठुँडे सुड्सुडिया	Terekwasserläufer
सानो आँसीठुँडे	Regenbrachvogel
लालखुट्टे टिमटिमा	Rotschenkel
जलअप्सरा	Fasanblatthühnchen
प्रशान्त सर्षपी	Sibirischer Goldregenpfeifer
वायु फ्यालफ्याले	Fluss-Seeschwalbe
ओस्कार	Oscar
प्रोक्यारियोटिक कोशिका	Prokaryoten
ओसामा बिन लादेन को अन्त्य	Operation Neptune’s Spear
सह-सेनानी	Hauptmann (Offizier)
शक्ति (देवी)	Shakti
बिच्छी	Skorpione
जर्ज बर्नाड शा	George Bernard Shaw
चेस्टर बेनिंगटन	Chester Bennington
ई.पू. १०१८	1018
ई.पू. १०२०	1020
ई.पू. १०२१	1021
ई.पू. १०२२	1022
ई.पू. १०२३	1023
ई.पू. १०२४	1024
ई.पू. १०२५	1025
फुटबल विश्वकप	Fußball-Weltmeisterschaft
ई.पू. १०३३	1033
ई.पू. १०७५	1075
पोडोल्स्क	Podolsk
अधातु	Nichtmetalle
५	5
३	3
२	2
बुखारेस्ट	Bukarest
लुभ्र दरवार	Louvre
पुएर्टो रिको स्वातन्त्र पार्टी	Partido Independentista Puertorriqueño
टिराना	Tirana
सन् १९२८	1928
सन् ६	6
पुरानो करार	Altes Testament
क्रिसमस	Weihnachten
त्रिभुज	Dreieck
स्टिभ जब्स	Steve Jobs
लेडी गागा	Lady Gaga
भारोपेली भाषा परिवार	Indogermanische Sprachen
कर्णेल मुअम्मर गद्दाफी	Muammar al-Gaddafi
बाघ	Tiger
लण्डन अण्डरग्राउण्ड	London Underground
भिल्हेल्म लिबक्नेख्त	Wilhelm Liebknecht
साई	Psy (Sänger)
सामसुङ	Samsung
कुकुरका प्रजातीहरू	Liste der Haushunde
कम्प्युटर विज्ञान	Informatik
प्राकृतिक सङ्ख्या	Natürliche Zahl
समाजशास्त्र	Soziologie
अरुबा	Aruba
अन्तर्राष्ट्रीय ध्वन्यात्मक लिपि	Internationales Phonetisches Alphabet
ओडिशा	Odisha
पञ्जाब (भारत)	Punjab (Indien)
खनिज तेल	Erdöl
भौगोलिक निर्देशाङ्क प्रणाली	Geographische Koordinaten
यूरोकप २०१२	Fußball-Europameisterschaft 2012
बैंक	Bank
इन्टरनेट सेन्सरसीप	Zensur im Internet
जनसंख्या घनत्व	Bevölkerungsdichte
सन् १	1
१०	10
एड्ली (गायिका)	Adele (Sängerin)
गोफ विट्ल्याम	Gough Whitlam
सन् ९	9
एडमण्ड बार्टन	Edmund Barton
७	7
कृस वाट्सन	Chris Watson
सन् ८	8
जोर्ज रीड ( अष्ट्रेलियाली राजनितिज्ञ)	George Reid
स्टेन्ली ब्रुस	Stanley Bruce
जेम्स स्कलिन	James Scullin
अर्थर फेडेन	Arthur Fadden
जोन कर्टिन	John Curtin
१२	12
बेन चिफ्ली	Ben Chifley
जोन म्याकइवेन	John McEwen
हप्ता	Woche
हरिण	Hirsche
बरफ	Eis
लसुन	Knoblauch
रातो सागर	Rotes Meer
बोउभेट टापु	Bouvetinsel
ई.पू. ९३०	930
१३	13
ई.पू. ९८५	985
ई.पू. ९८१	981
ई.पू. ९३९	939
काँक्रो	Gurke
उलानबटोर	Ulaanbaatar
अर्नेस्ट हेमिङ्वे	Ernest Hemingway
सेतो	Weiß
कालो	Schwarz
ई.पू. ९५०	950
ई.पू. ९९६	996
ई.पू. ९८०	980
ई.पू. ९८६	988
प्याज	Zwiebel
पुरातत्त्वशास्त्र	Archäologie
गोलभेडा	Tomate
जर्ज एच डब्लु बुश	George H. W. Bush
सन् ११	11
भूमध्य रेखा(भूगोल)	Äquator
नासा	NASA
हाउस (टेलिभिजन श्रृङ्खला)	Dr. House
ई.पू. ९६३	963
ई.पू. ९६२	962
ई.पू. ९९७	997
ई.पू. ९७२	972
ई.पू. ९५५	955
ई.पू. ९३६	936
ई.पू. ९५३	953
ई.पू. ९५८	958
सन् ९०३	903
बर्मुडा	Bermuda
ई.पू. ९८७	987
ई.पू. ९६५	965
ई.पू. ९२४	924
ई.पू. ९५१	951
ई.पू. ९३२	932
बेलायत	Großbritannien (Insel)
जिम्मी कार्टर	Jimmy Carter
राष्ट्रगान	Nationalhymne
ई.पू. ९६७	967
ई.पू. ९८९	989
ई.पू. ९६०	960
ई.पू. ९६९	969
ई.पू. ९५७	957
ई.पू. ९७१	971
ई.पू. ९३७	937
ई.पू. ९९२	992
ई.पू. ९९०	990
ई.पू. ९७५	975
ई.पू. ९४२	942
ई.पू. ९६६	966
ई.पू. ९७३	973
चुनढुङ्गा	Kalkstein
रोवान एटकिनसन	Rowan Atkinson
ई.पू. ९८२	982
ई.पू. ९७४	974
ई.पू. ९७६	976
ई.पू. ९७९	979
ई.पू. ९९८	998
प्यालेस्टाइन	Palästina (Region)
ई.पू. ९९५	995
ई.पू. ९७७	977
ई.पू. ९३४	934
परमाणु क्रमांक	Ordnungszahl
अल्फ्रेड नोबेल	Alfred Nobel
ई.पू. ९४०	940
काइँयो	Kamm
ई.पू. ९८४	984
ई.पू. ९५४	954
मानव शरीर	Menschlicher Körper
ई.पू. ९६१	961
एन्ड्र्यु गारफिल्ड	Andrew Garfield
ई.पू. ९४६	946
ई.पू. ९६८	968
ई.पू. ९८३	983
ई.पू. ९६४	964
ई.पू. ९७०	970
ई.पू. ९९१	991
ई.पू. ९९४	994
ई.पू. ९४४	944
ई.पू. ९४३	943
ई.पू. ९४१	941
ई.पू. ९४८	948
ई.पू. ९४७	947
ई.पू. ९४९	949
ऋतु	Jahreszeit
ई.पू. ९३८	938
लिभरपुल	Liverpool
वर्तिका भारद्वाज	Kurzzehenlerche
अवतार (२००९ चलचित्र)	Avatar – Aufbruch nach Pandora
लाटोकोसेरो	Eulen
नेदरल्याण्डस एन्टिलस	Niederländische Antillen
एन्गुला	Anguilla
गुर्न्जी	Guernsey
केराउ	Erbse
सउर	Birken
सन् २०१६	2016
फाप्रे चरा	Wiedehopf
अन्तर्राष्ट्रिय अन्तरिक्ष स्टेशन	Internationale Raumstation
आईएसओ ३१६६-१	ISO-3166-1-Kodierliste
उप्साला	Uppsala
सन् २०१७	2017
सन् २०१८	2018
छोकडाको बोट	Echte Dattelpalme
भाषा परिवार	Sprachfamilie
ई.पू. २	2 v. Chr.
ई.पू. १	1 v. Chr.
सुनगाभा	Orchideen
साङ्ला	Schaben
झिँगा	Zweiflügler
फूल फुल्ने वनस्पति	Bedecktsamer
गोठे लाटोकोसेरो	Schleiereule
पाँचथोप्ले खपटे कीरा	Marienkäfer
मलाहा चील	Fischadler
सन् २०२०	2020
बहुरुपी मलसाँप्रो	Hermelin
हरियो टाउके	Stockente
बलाकांक्ष वनबाज	Habicht
ई.पू. १२३	123 v. Chr.
ई.पू. २३४	234 v. Chr.
मरुल	Blässhuhn
खैरो गौंथली	Mauersegler
वनबाज	Sperber (Art)
चित्रकचरी	Buchfink
लामकाने लाटोकोसेरो	Waldohreule
श्येनबाज	Mäusebussard
जुरे हुटिट्याउँ	Kiebitz (Art)
सालक	Schuppentiere
कालो गरुड	Schwarzstorch
सेतो टिकटिके	Bachstelze
रक्तमुहार पीतचरी	Stieglitz
डुबुल्कीचरा	Haubentaucher
ई.पू. ३४५	345 v. Chr.
कङ्कम चील	Seeadler (Art)
सुइरोपुच्छ्रे	Spießente
ई.पू. ४५६	456 v. Chr.
चल्लाचोर भुइँचील	Kornweihe
महाराज हंस	Singschwan
कालोटाउके गंगाचील	Lachmöwe
श्वेताँखीभौं	Knäkente
खरलाहाँचे	Wendehals (Vogel)
पानी चाहा	Bekassine
विजुलागैरी	Krickente
कैलो पहाडी उल्लू	Waldkauz
लालठुँडे चखेवा	Brandgans
लघुकर्ण लाटोकोसेरो	Sumpfohreule
जुंगे चिरान्तक बाज	Baumfalke
कलहाँस	Graugans
खडखडे हाँस	Schnatterente
सिपी चरा	Austernfischer
बेल्चाठुँडे हाँस	Löffelente
रूख भँगेरा	Feldsperling
पहेंलो टिकटिके	Schafstelze
ठूलो वनपरेवा	Ringeltaube
खैरोटाउके गंगाचील	Braunkopfmöwe
लघु फ्यालफ्याले	Zwergseeschwalbe
जेस्सिका जेमेस	Jessica Jaymes
हन्ना हार्पर	Hannah Harper
ठूलो चाहा	Waldschnepfe
हलीमुख	Säbelschnäbler
सुन बगेडी	Goldammer
निना मर्सिडिज	Nina Mercedez
कोइली	Kuckucke
राजसुड्सुडिया	Kampfläufer
मिउ गंगाचील	Sturmmöwe
सिम भुइँचील	Rohrweihe
कालीजुरे हाँस	Reiherente
सिन्दुरे हाँस	Pfeifente
बौंडाई	Turmfalke
बूढो मान्छे र समुद्र	Der alte Mann und das Meer
लुइस स्वारेज	Luis Suárez
उपग्रह	Satellit (Raumfahrt)
याक	Yak
नेपालका विकास क्षेत्रहरू	Entwicklungsregionen Nepals
मोन्टागु भुइँचील	Wiesenweihe
लामपुच्छ्रे हाँस	Eisente
टुन्ड्रा राजहंस	Pfeifschwan
कालोटाउके हाँस	Bergente
वाणिज्यशास्त्र	Kommerz
तितेपाती	Beifuß
गोभण्डीर चाहा	Zwergschnepfe
भाङ	Hanf (Art)
हम्पी	Hampi
ल्वाङको बोट	Gewürznelken-Baum
कैलोटाउके हाँस	Tafelente
ओथेलो	Othello
टेलर स्विफ्ट	Taylor Swift
बगर ज्यामी	Steinwälzer
सेतोजुंगे बगेडी	Rohrammer
जुरे भारद्वाज	Haubenlerche
कुक टापु	Cookinseln
चम्सुर	Gartenkresse
रातो जलरङ्क	Knutt
केकरा फ्यालफ्याले	Raubseeschwalbe
धूलिका चुइयाँ	Brachpieper
परीक्षा	Klassenarbeit
हिमाली मलसाँप्रो	Steinmarder
एसी/डीसी	AC/DC
मिखाइल बाकुनिन	Michail Alexandrowitsch Bakunin
दर्शनको इतिहास	Geschichte der Philosophie
जंगली घोडा	Wildpferd
दाङ जिल्ला	Dang Deukhuri
बाजुरा जिल्ला	Bajura
सर्लाही जिल्ला	Sarlahi (Distrikt)
बैतडी जिल्ला	Baitadi
धनकुटा जिल्ला	Dhankuta (Distrikt)
मोरङ जिल्ला	Morang (Distrikt)
सिराहा जिल्ला	Siraha (Distrikt)
प्युठान जिल्ला	Pyuthan (Distrikt)
रौतहट जिल्ला	Rautahat (Distrikt)
कालीकोट जिल्ला	Kalikot (Distrikt)
थोप्ले टिमटिमा	Dunkler Wasserläufer
कैलाली जिल्ला	Kailali (Distrikt)
पाँचथर जिल्ला	Panchthar (Distrikt)
सुनसरी जिल्ला	Sunsari (Distrikt)
झापा जिल्ला	Jhapa (Distrikt)
बागलुङ जिल्ला	Baglung (Distrikt)
दालचिनी	Zimt
मकवानपुर जिल्ला	Makwanpur (Distrikt)
सुदूर-पश्चिमाञ्चल विकास क्षेत्र	Entwicklungsregion Fernwest (Nepal)
मसिनोठुँडे टिमटिमा	Teichwasserläufer
बट्टाई	Wachtel (Art)
सोलुखुम्बु जिल्ला	Solukhumbu (Distrikt)
कुरिलो	Gemüsespargel
पर्वत जिल्ला	Parbat (Distrikt)
चमेरो	Fledertiere
अछाम जिल्ला	Achham
नुवाकोट जिल्ला	Nuwakot (Distrikt)
अर्घाखाँची जिल्ला	Arghakhanchi
मनाङ जिल्ला	Manang (Distrikt)
कास्की जिल्ला	Kaski
रुपन्देही जिल्ला	Rupandehi (Distrikt)
पाल्पा जिल्ला	Palpa (Distrikt)
दैलेख जिल्ला	Dailekh (Distrikt)
सिन्धुपाल्चोक जिल्ला	Sindhupalchok (Distrikt)
तनहुँ जिल्ला	Tanahu (Distrikt)
बाँके जिल्ला	Banke
स्याङ्जा जिल्ला	Syangja (Distrikt)
रूख सुड्सुडिया	Waldwasserläufer
भक्तपुर जिल्ला	Bhaktapur (Distrikt)
धादिङ जिल्ला	Dhading (Distrikt)
बर्दिया जिल्ला	Bardiya (Distrikt)
पश्चिमाञ्चल विकास क्षेत्र	Entwicklungsregion West (Nepal)
मध्य-पश्चिमाञ्चल विकास क्षेत्र	Entwicklungsregion Mittelwest (Nepal)
कपाल	Haar
गोरखा जिल्ला	Gorkha (Distrikt)
एंगोला जनमुक्ति आंदोलन - श्रम दल	Movimento Popular de Libertação de Angola
काभ्रेपलाञ्चोक जिल्ला	Kabhrepalanchok (Distrikt)
सल्यान जिल्ला	Salyan (Distrikt)
गुल्मी जिल्ला	Gulmi (Distrikt)
कपिलवस्तु जिल्ला	Kapilbastu (Distrikt)
पूर्वाञ्चल विकास क्षेत्र	Entwicklungsregion Ost (Nepal)
ई.पू. ५६७	567 v. Chr.
मध्यमाञ्चल विकास क्षेत्र	Entwicklungsregion Mitte (Nepal)
उदयपुर जिल्ला	Udayapur (Distrikt)
चितवन जिल्ला	Chitwan (Distrikt)
तेह्रथुम जिल्ला	Terhathum (Distrikt)
सिन्धुली जिल्ला	Sindhuli (Distrikt)
नवलपरासी जिल्ला	Nawalparasi (Distrikt)
सुर्खेत जिल्ला	Surkhet (Distrikt)
ताप्लेजुङ जिल्ला	Taplejung (Distrikt)
बझाङ जिल्ला	Bajhang
मुगु जिल्ला	Mugu
डडेल्धुरा जिल्ला	Dadeldhura (Distrikt)
सङ्खुवासभा जिल्ला	Sankhuwasabha (Distrikt)
रोल्पा जिल्ला	Rolpa (Distrikt)
खोटाङ जिल्ला	Khotang (Distrikt)
डोटी जिल्ला	Doti (Distrikt)
दार्चुला जिल्ला	Darchula (Distrikt)
रसुवा जिल्ला	Rasuwa (Distrikt)
बारा जिल्ला	Bara (Distrikt)
डोल्पा जिल्ला	Dolpa (Distrikt)
रामेछाप जिल्ला	Ramechhap (Distrikt)
रुकुम जिल्ला	Rukum (Distrikt)
सप्तरी जिल्ला	Saptari (Distrikt)
महोत्तरी जिल्ला	Mahottari (Distrikt)
जुम्ला जिल्ला	Jumla (Distrikt)
दोलखा जिल्ला	Dolakha (Distrikt)
हुम्ला जिल्ला	Humla (Distrikt)
म्याग्दी जिल्ला	Myagdi (Distrikt)
पर्सा जिल्ला	Parsa (Distrikt)
युनिता	União Nacional para a Independência Total de Angola
प्याराडाइज लस्ट	Paradise Lost
फिल्ड पुरस्कार	Fields-Medaille
पाइथन प्रोग्रामिङ्ग भाषा	Python (Programmiersprache)
इस्लामी क्यालेण्डर	Islamische Zeitrechnung
भँगेरा	Sperlinge
कञ्चनपुर जिल्ला	Kanchanpur (Distrikt)
इलाम जिल्ला	Ilam (Distrikt)
ओखलढुङ्गा जिल्ला	Okhaldhunga (Distrikt)
धनुषा जिल्ला	Dhanusha
अ पकेट फुल अफ राइ	Das Geheimnis der Goldmine
१९५१ एसियाली खेल	Asienspiele 1951
लमजुङ जिल्ला	Lamjung (Distrikt)
असमिया	Assamesische Sprache
जाजरकोट जिल्ला	Jajarkot (Distrikt)
गुणकेशरी	Narzissen
माइकल क्यारिक	Michael Carrick
अवधी भाषा	Awadhi
वाइ-फाई	Wi-Fi
स्वर्णनयन हाँस	Schellente
सोली	Trichter
कालो ओत	Fischotter
ई.पू. ९५६	956
ई.पू. ९५२	952
जेली फिस	Qualle
महापौर	Bürgermeister
हिउँ चितुवा	Schneeleopard
ई.पू. ९७८	978
एभ्रिल लेभिन्ज	Avril Lavigne
मदर टेरेसा	Mutter Teresa
टेरा प्याट्रिक	Tera Patrick
एना इभानोभिक	Ana Ivanović
ब्लग	Blog
डेल	Dell
यश चोपडा	Yash Chopra
डेङ्गु	Denguefieber
धतुरो	Gemeiner Stechapfel
नरफक टापू	Norfolkinsel
क्रिसमस टापु	Weihnachtsinsel (Australien)
क्यालकुलेटर	Taschenrechner
एली गोल्डिङ	Ellie Goulding
सुगा	Papageien
चित्राङ्गड	Bunt-Goldschnepfe
फिरफिरे घरगौंथली	Malaiensegler
सेतोकण्ठे गौंथली	Stachelschwanzsegler
पुच्छरकापे गौंथली	Pazifiksegler
नीलपुच्छ्रे मुरलीचरा	Blauschwanzspint
ड्यानी एशी	Danni Ashe
पौडी (खेल)	Schwimmsport
गुलाब जामुन	Syzygium jambos
नीलटाउके माटीकोरे	Meninting-Eisvogel
अन्तरराष्ट्रिय प्रकृति संरक्षण संघको रातो सूची	Rote Liste gefährdeter Arten
मेष राशि	Widder (Tierkreiszeichen)
मुक्केबाजी	Boxen
सोनाली बेन्द्रे	Sonali Bendre
डोगरी	Dogri
मलाला युसफजई	Malala Yousafzai
मेनफ्रेम कम्प्युटर	Mikrocomputer
जेब्रा	Zebra
मस्जिद	Moschee
एकन	Akon
जोङ्खा भाषा	Dzongkha
ड्रेक (गायक)	Drake (Rapper)
भोजपुरी भाषा	Bhojpuri
मुगल साम्राज्य	Mogulreich
सीकर	Sikar
जलंधर	Jalandhar
हुबली	Hubli-Dharwad
सेतो गिद्ध	Schmutzgeier
संग्रहालय	Museum
पाण्डा	Großer Panda
केशा (गायिका)	Kesha
हेमा मालिनी	Hema Malini
कन्नड भाषा	Kannada
चट्याङ्	Blitz
बर्टेण्ड रसेल	Bertrand Russell
अरब क्रान्ति	Arabischer Frühling
हात	Hand
डु फु	Du Fu
एडमण्ड हिलारी	Edmund Hillary
नेपाली भाषा	Nepali
जनसंख्या	Bevölkerung
थियोडोर रूजवेल्ट	Theodore Roosevelt
मणिपुरी भाषा	Meitei
उलरू	Uluṟu
कागते घाँस	Zitronengras
चेकोस्लोभाकिया	Tschechoslowakei
नेपाल भाषा	Newari
अभिनेता	Schauspieler
हलिउड	Hollywood
काजु	Kaschu
अक्षांश	Geographische Breite
जस्टिन बीबर	Justin Bieber
चरेस	Bronze
होस्नी मुबारक	Husni Mubarak
नौनी	Butter
जिउस	Zeus
नायगरा फल्स	Niagarafälle
सांकेतिक भाषा	Gebärdensprache
तिब्बती भाषा	Tibetische Sprache
अलेक्ज्याण्डर ग्राहम बेल	Alexander Graham Bell
ज्योतिष	Astrologie
ट्याज्मानिया	Tasmanien
विटनी हृयूस्टन	Whitney Houston
साबुन	Seife
बेनजिर भुट्टो	Benazir Bhutto
सकिरा	Shakira
अक्सफोर्ड विश्वविद्यालय	University of Oxford
सडक	Fernstraße
गेनिथ पाल्ट्रो	Gwyneth Paltrow
सघन चक्र	Compact Disc
हिरोहितो	Hirohito
हेलिकोप्टर	Hubschrauber
अल कायदा	Al-Qaida
मोटरसाइकल	Motorrad
जे.के. रोलिङ	Joanne K. Rowling
गुलाफ	Rosen
कम्पास	Kompass
फ्रेडरिक एंगेल्स	Friedrich Engels
नयाँ वर्ष	Neujahr
क्याथरिन बिगलो	Kathryn Bigelow
एलिजाबेथ टेलर	Elizabeth Taylor
मेवा	Papaya
ब्रिसबेन	Brisbane
भिटामिन	Vitamin
बन्दागोभी	Weißkohl
अमेरिकाका राष्ट्रपतिह‍रूको सूची	Liste der Präsidenten der Vereinigten Staaten
वेबसाईट	Website
दर्पण	Spiegel
ब्रजभाषा	Braj-Bhakha
व्युत्पत्तिशास्त्र	Etymologie
ई.पू. ४४	44 v. Chr.
तत्त्वज्ञान	Metaphysik
ब्राड पिट	Brad Pitt
टिटीकाका ताल	Titicacasee
कोलम्बो	Colombo
एटी एन्ड टी	AT&T
एस्ली लङ्ग	Ashley Long
मदिना	Medina
एन्जेलिना भ्यालेन्टाइन	Angelina Valentine
ई.पू. २४२	242 v. Chr.
ई.पू. २४८	248 v. Chr.
ई.पू. २५८	258 v. Chr.
ई.पू. २५७	257 v. Chr.
ई.पू. २५३	253 v. Chr.
ह्वाइट हाउस	Weißes Haus
ई.पू. २४६	246 v. Chr.
ई.पू. २४५	245 v. Chr.
ई.पू. २४९	249 v. Chr.
ई.पू. २५२	252 v. Chr.
ई.पू. २४०	240 v. Chr.
ई.पू. २५४	254 v. Chr.
ई.पू. २५६	256 v. Chr.
यूरोपीय फुटबल संघहरुको संघ	UEFA
ई.पू. २५१	251 v. Chr.
ई.पू. २५०	250 v. Chr.
ई.पू. २४४	244 v. Chr.
ई.पू. २४३	243 v. Chr.
ई.पू. २५५	255 v. Chr.
शान्तिमा नोबेल पुरस्कार	Friedensnobelpreis
हिमनदी	Gletscher
एभी स्कट	Avy Scott
एन्नेट्टे स्क्वार्ज	Annette Schwarz (Pornodarstellerin)
एलेक्ट्रा ब्लु	Alektra Blue
निबन्ध	Essay
ई.पू. २४७	247 v. Chr.
क्याम्ब्रिज विश्वविद्यालय	University of Cambridge
खोकी	Husten
दाउरा	Brennholz
ई.पू. २५९	259 v. Chr.
बप्तिस्मा	Taufe
डुङ्गा	Boot
इपिल	Weißkopfmimose
कंगो	Congo
एश्लिन ब्रुक	Ashlynn Brooke
एलेक्सिस टेक्सास	Alexis Texas
एलेट्टा ओसन	Aletta Ocean
सौन्दर्यशास्त्र	Ästhetik
एरिया जिओभानी	Aria Giovanni
कोकोस टापु	Kokosinseln
पिस्ता	Pistazie
क्विन्सल्याण्ड	Queensland
मैथिली भाषा	Maithili
हसना फूल	Nachtjasmin
ध्वाँसे चितुवा	Nebelparder
मिजो भाषा	Mizo (Sprache)
बेयोन्से नोल्स	Beyoncé Knowles
ब्राम स्टोकर	Bram Stoker
लोककथा	Folklore
कोटेरो मुनियाँ	Muskatamadine
मार्क जुकरबर्ग	Mark Zuckerberg
मलयालम	Malayalam
एन्नी क्रुज	Annie Cruz
जीवनी	Biografie
रेसम मार्ग	Seidenstraße
इग्वासु झरना	Iguazú-Wasserfälle
सपना	Traum
मुसा	Ratten
राजनीति विज्ञान	Politikwissenschaft
देशान्तर	Geographische Länge
द लायन किंग	Der König der Löwen
सहश्राब्दि	Jahrtausend
फ्रान्सिस ड्रेक	Francis Drake
रासायनिक प्रतिक्रिया	Chemische Reaktion
चुल्हो	Backofen
शेर्पा भाषा	Sherpa (Sprache)
वेश्यावृत्ति	Prostitution
भिक्टोरिया (अस्ट्रेलिया)	Victoria (Australien)
पाली भाषा	Pali
आङ सान सुकी	Aung San Suu Kyi
चतुर्भुज	Viereck
रिहाना	Rihanna
मातृभाषा	Muttersprache
पर्वतारोही	Bergsteigen
ओजोन	Ozon
कुष्ठरोग	Lepra
शिकार	Jagd
ज्याकी च्यान	Jackie Chan
फिल्मफेयर पुरस्कार	Filmfare Award
बिष्णुप्रिया मणिपुरी	Bishnupriya Manipuri
होजे सारामागो	José Saramago
अलेक्जेन्डर फ्लेमिङ	Alexander Fleming
टम क्रूज	Tom Cruise
बाल दिवस	Kindertag
जैतुन	Olivenbaum
याहू	Yahoo
फ्लोरेन्स नाइटिङ्गेल	Florence Nightingale
गुलबर्गा	Gulbarga
जोनी डेप	Johnny Depp
रोबर्ट कोच	Robert Koch
गिजाको विशाल पिरामिड	Cheops-Pyramide
सिन्ध	Sindh
व्यास(ज्यामिती)	Durchmesser
शिक्षक	Lehrer
भानुभक्तीय रामायण	Ramayana
इन्टरनेट चलचित्र डेटाबेस	Internet Movie Database
एपोलो	Apollon
दलाइ लामा	Dalai Lama
क्लाउस एब्नर	Klaus Ebner
बदाम	Erdnuss
फ्रान्सिस बेकन	Francis Bacon
घुँडा	Kniegelenk
खुर्पानी	Aprikose
संयुक्त राष्ट्र सुरक्षा परिषद	Sicherheitsrat der Vereinten Nationen
कुहिरो	Nebel
महाकाव्य	Epos
चश्मा	Brille
बहुभुज	Polygon
प्रणय दिवस	Valentinstag
असिना	Hagel
मिला कुनिज	Mila Kunis
ई.पू. ४३	43 v. Chr.
अपरेसन डेजर्ट शिल्ड	Zweiter Golfkrieg
बजार	Markt
पल गोगे	Paul Gauguin
हाइकु	Haiku
क्रोमोसोम	Chromosom
साहित्यमा नोबेल पुरस्कार	Nobelpreis für Literatur
हुलाक टिकट	Briefmarke
सखरखण्ड	Süßkartoffel
ग्रेगर जोन मेन्डल	Gregor Mendel
अकिहितो	Akihito
रङ्गुन	Rangun
ई.पू. ६३	63 v. Chr.
भौतिक शास्त्रमा नोबेल पुरस्कार	Nobelpreis für Physik
लियोनार्दो डि र्कापियो	Leonardo DiCaprio
ई.पू. ३१	31 v. Chr.
आशा भोसले	Asha Bhosle
अटिज्म	Autismus
देवनागरी लिपि	Devanagari
खरबुजा	Wassermelone
बाबरी	Basilikum
रोमन संख्या	Römische Zahlschrift
ज्वरो	Fieber
ई.पू. ४	4 v. Chr.
अन्तर्राष्ट्रिय महिला दिवस	Internationaler Frauentag
भोरालबर्ग	Vorarlberg
मानव विकास सूचकांक	Human Development Index
पिसाको लेनिङ टावर	Schiefer Turm von Pisa
ई.पू. १००	100 v. Chr.
खुल्ला श्रोत	Open Source
ई.पू. ८	8 v. Chr.
रेबिज	Tollwut
भोटे कुकुर	Do Khyi
बन्चरो	Axt
रोनाल्डिन्हो	Ronaldinho
ट्रयाक्टर	Traktor
ब्लुटूथ	Bluetooth
औजार	Werkzeug
चाप	Druck (Physik)
माइकल फ्लेप्स	Michael Phelps
रेनडियर	Ren
अर्थविज्ञान	Semantik
स्टोनहेज	Stonehenge
ई.पू. १४	14 v. Chr.
ई.पू. २७	27 v. Chr.
गाजा पट्टी	Gazastreifen
ई.पू. १९	19 v. Chr.
बजारशास्त्र	Marketing
उपत्यका	Tal
ई.पू. ३	3 v. Chr.
राष्ट्रिय जनगणना	Volkszählung
स्टीफन किङ	Stephen King
रेडियो स्टुडियो ५४ नेटवर्क	Radio Studio 54 Network
प्यान्ट	Hose
दशक	Jahrzehnt
मधेशी बदाम	Mandelbaum
वेद	Veda
ई.पू. ५८	58 v. Chr.
ई.पू. ५२	52 v. Chr.
पेयपदार्थ	Getränk
कम्प्युटर प्रोग्राम	Computerprogramm
ई.पू. ६	6 v. Chr.
ई.पू. ३४	34 v. Chr.
ई.पू. ५९	59 v. Chr.
ई.पू. ५७	57 v. Chr.
अक्टोपस	Kraken
अम्ल वर्षा	Saurer Regen
निर्वाचन	Wahl
केन्द्रक	Zellkern
अधिवक्ता	Rechtsanwalt
कारागार	Gefängnis
ई.पू. ५	5 v. Chr.
ई.पू. २३	23 v. Chr.
परवेज मुशर्रफ	Pervez Musharraf
राशि-चक्र	Tierkreiszeichen
जीवावशेष	Fossil
माइस्पेस	Myspace
जेनिफर लोपेज	Jennifer Lopez
डिलमा रौसेफ	Dilma Rousseff
ई.पू. ६५	65 v. Chr.
सान्ड्रा बुलक	Sandra Bullock
गँगटो	Krabben
शल्यक्रिया	Chirurgie
ई.पू. २९	29 v. Chr.
ई.पू. ५३	53 v. Chr.
ई.पू. ९०	90 v. Chr.
पखाला	Durchfall
अण्डमान र निकोबार द्वीप समूह	Andamanen und Nikobaren
ई.पू. ७	7 v. Chr.
ई.पू. ९	9 v. Chr.
ई.पू. ३२	32 v. Chr.
ई.पू. ९१	91 v. Chr.
ईटानगर	Itanagar
ई.पू. ८४	84 v. Chr.
ई.पू. ४८	48 v. Chr.
ई.पू. २६	26 v. Chr.
ई.पू. ७०	70 v. Chr.
ई.पू. ५५	55 v. Chr.
ई.पू. ११	11 v. Chr.
जेजु प्रान्त	Jeju-do
डेमी लोभाटो	Demi Lovato
सुवर्ण महाचील	Steinadler
