افریقہ	Afrika
ژینگژو	Zhengzhou
681ء	681
819ء	819
173ء	173
867ء	867
865ء	865
لا ٹرینیڈاڈ، بینگیت	La Trinidad (Benguet)
827ء	827
824ء	824
847ء	847
883ء	883
829ء	829
سبلن، بنگوٹ	Sablan
813ء	813
910ء	910
توبلے، بنگوت	Tublay
850ء	850
ایگوینالدو، ایفوگاؤ	Aguinaldo (Ifugao)
808ء	808
853ء	853
872ء	872
873ء	873
856ء	856
858ء	858
831ء	831
857ء	857
828ء	828
826ء	826
833ء	833
848ء	848
834ء	834
881ء	881
852ء	852
163ء	163
154ء	154
201ء	201
803ء	803
805ء	805
52ء	52
532ء	532
82ء	82
84ء	84
73ء	73
72ء	72
62ء	62
71ء	71
75ء	75
74ء	74
83ء	83
78ء	78
لاگوے، ایفوگاؤ	Lagawe
77ء	77
90ء	90
80ء	80
627ء	627
456ء	456
91ء	91
190ء	190
109ء	109
53ء	53
270ء	270
688ء	688
452ء	452
795ء	795
465ء	465
778ء	778
846ء	846
830ء	830
404ء	404
908ء	908
896ء	896
897ء	897
927ء	927
63ء	63
555ء	555
571ء	571
86ء	86
401ء	401
890ء	890
533ء	533
264ء	264
میخائل گورباچوف	Michail Sergejewitsch Gorbatschow
99ء	99
415ء	415
483ء	483
469ء	469
462ء	462
459ء	459
466ء	466
402ء	402
761ء	761
نعرہ	Slogan
780ء	780
675ء	675
689ء	689
774ء	774
759ء	759
شاہین	Wanderfalke
758ء	758
350ء	350
مدر ٹریسا	Mutter Teresa
782ء	782
760ء	760
785ء	785
783ء	783
767ء	767
766ء	766
211ء	211
232ء	232
204ء	204
188ء	188
98ء	98
894ء	894
پوپ اربن دوم	Urban II.
891ء	891
بیلی جے	Bailey Jay
602ء	602
628ء	628
892ء	892
601ء	601
پلیکو	Plei Cu
672ء	672
682ء	682
821ء	821
648ء	648
686ء	686
664ء	664
677ء	677
640ء	640
محافظہ بحیرہ	Gouvernement al-Buhaira
110ء	110
111ء	111
محافظہ دمیاط	Gouvernement Dumyat
137ء	137
محافظہ وادی جدید	Gouvernement al-Wadi al-dschadid
138ء	138
محافظہ فیوم	Gouvernement al-Fayyum
122ء	122
محافظہ شمالی سینا	Gouvernement Schimal Sina
140ء	140
محافظہ سوہاج	Gouvernement Sauhadsch
809ء	809
محافظہ منیا	Gouvernement al-Minya
167ء	167
محافظہ مطروح	Gouvernement Matruh
محافظہ بنی سیوف	Gouvernement Bani Suwaif
665ء	665
776ء	776
763ء	763
769ء	769
667ء	667
529ء	529
777ء	777
788ء	788
671ء	671
772ء	772
432ء	432
231ء	231
ایجنویلرز	Agenvillers
237ء	237
239ء	239
130ء	130
226ء	226
207ء	207
475ء	475
محافظہ منوفیہ	Gouvernement al-Minufiyya
454ء	454
محافظہ الاقصر	Gouvernement al-Uqsur
محافظہ قاہرہ	Gouvernement al-Qahira
495ء	495
محافظہ جنوبی سینا	Gouvernement Dschanub Sina
206ء	206
468ء	468
461ء	461
محافظہ بحر احمر	Gouvernement al-Bahr al-ahmar
محافظہ جیزہ	Gouvernement al-Dschiza
460ء	460
محافظہ غربیہ	Gouvernement al-Gharbiyya
194ء	194
210ء	210
بلاگ	Blog
225ء	225
311ء	311
220ء	220
مرکزیچہ	Nucleolus
541ء	541
جایں ، نوایکجا	Jaen (Nueva Ecija)
642ء	642
یش چوپڑا	Yash Chopra
390ء کی دہائی	390er
313ء	313
180ء	180
794ء	794
587ء	587
530ء	530
609ء	609
497ء	497
540ء	540
428ء	428
548ء	548
422ء	422
549ء	549
457ء	457
478ء	478
253ء	253
467ء	467
458ء	458
350ء کی دہائی	350er
158ء	158
157ء	157
164ء	164
124ء	124
113ء	113
121ء	121
106ء	106
551ء	551
494ء	494
محافظہ کفر الشیخ	Gouvernement Kafr asch-Schaich
320ء	320
جلگاؤں	Jalgaon
242ء	242
ڈینگی بخار	Denguefieber
291ء	291
48ء	48
فلپسبرگ	Philipsburg
97ء	97
56ء	56
کنگسٹن (جزیرہ نارفولک)	Kingston (Norfolkinsel)
93ء	93
الوفی	Alofi (Niue)
57ء	57
جیمز ٹاون، سینٹ ہلینا	Jamestown (St. Helena)
فرانسیسی پولینیشیا	Französisch-Polynesien
503ء	503
510ء	510
509ء	509
474ء	474
فلائینگ فش کوو	Flying Fish Cove
484ء	484
576ء	576
ہیملٹن (برمودا)	Hamilton (Bermuda)
493ء	493
هاگاتنا	Hagåtña
479ء	479
پلایماؤت، مانٹسریٹ	Plymouth (Montserrat)
287ء	287
دی ویلی	The Valley (Anguilla)
ایل آلتو، لاپاز	El Alto
407ء	407
485ء	485
ماتا-اتو	Mata-Utu
547ء	547
بریڈیس	Brades
546ء	546
544ء	544
537ء	537
535ء	535
502ء	502
527ء	527
یارن	Yaren (Distrikt)
508ء	508
525ء	525
613ء	613
618ء	618
617ء	617
608ء	608
645ء	645
621ء	621
606ء	606
623ء	623
604ء	604
603ء	603
626ء	626
619ء	619
634ء	634
جزیرہ نارفولک	Norfolkinsel
برلنگٹن، ورمونٹ	Burlington (Vermont)
630ء	630
جزیرہ کرسمس	Weihnachtsinsel (Australien)
614ء	614
محافظہ قنا	Gouvernement Qina
ابو جعفر المنصور	Al-Mansūr (Abbaside)
محافظہ اسماعیلیہ	Gouvernement al-Ismaʿiliyya
محافظہ دقہلیہ	Gouvernement ad-Daqahliyya
محافظہ سوئیز	Gouvernement as-Suwais
505ء	505
محافظہ الشرقیہ	Gouvernement asch-Scharqiyya
محافظہ قلیوبیہ	Gouvernement al-Qalyubiyya
446ء	446
791ء	791
محافظہ پورٹ سعید	Gouvernement Bur Saʿid
557ء	557
حسابگر	Taschenrechner
656ء	656
657ء	657
659ء	659
چونگجو	Chungju
651ء	651
676ء	676
670ء	670
652ء	652
673ء	673
654ء	654
647ء	647
کومنتانگ	Kuomintang
812ء	812
669ء	669
792ء	792
649ء	649
895ء	895
756ء	756
663ء	663
779ء	779
662ء	662
684ء	684
773ء	773
757ء	757
435ء	435
790ء	790
437ء	437
433ء	433
764ء	764
426ء	426
781ء	781
425ء	425
429ء	429
423ء	423
765ء	765
235ء	235
چیچن قوم	Tschetschenen
233ء	233
223ء	223
224ء	224
216ء	216
219ء	219
254ء	254
272ء	272
208ء	208
175ء	175
170ء	170
171ء	171
172ء	172
58ء	58
59ء	59
139ء	139
114ء	114
134ء	134
135ء	135
شبین الکوم	Schibin al-Kaum
179ء	179
142ء	142
96ء	96
181ء	181
146ء	146
145ء	145
183ء	183
182ء	182
184ء	184
324ء	324
589ء	589
521ء	521
92ء	92
مملکت لیبیا	Königreich Libyen
597ء	597
329ء	329
کراکوف	Krakau
133ء	133
413ء	413
258ء	258
259ء	259
196ء	196
236ء	236
789ء	789
جرش	Gerasa
332ء	332
الکرک	Kerak
631ء	631
487ء	487
638ء	638
473ء	473
معان	Ma'an
176ء	176
143ء	143
Name.	.name
643ء	643
Mil.	.mil
Int.	.int
Info.	.info
523ء	523
Gov.	.gov
215ء	215
148ء	148
247ء	247
424ء	424
641ء	641
492ء	492
سلسلہ (تصوف)	Silsila
639ء	639
آل سعود	Dynastie der Saud
256ء	256
441ء	441
131ء	131
آئرش آزار ریاست	Irischer Freistaat
191ء	191
450ء	450
612ء	612
635ء	635
611ء	611
534ء	534
انورکارگل	Invercargill
488ء	488
607ء	607
524ء	524
Net.	.net
Asia.	.asia
282ء	282
472ء	472
471ء	471
490ء	490
316ء	316
797ء	797
ایشیائی کھیل برائے نوجوانان	Asian Youth Games
511ء	511
295ء	295
598ء	598
جزیرہ نما عرب	Arabische Halbinsel
303ء	303
مرقس	Markus (Evangelist)
250ء	250
515ء	515
512ء	512
418ء	418
333ء	333
294ء	294
امیر دوست محمد خان	Dost Mohammed
217ء	217
277ء	277
578ء	578
312ء	312
284ء	284
283ء	283
241ء	241
حمل (فلکیات)	Widder (Tierkreiszeichen)
243ء	243
سلسلہ نقشبندیہ	Naqschbandi
صوبہ تائیوان	Taiwan (Provinz)
262ء	262
498ء	498
نصف النہار	Meridian (Geographie)
336ء	336
334ء	334
266ء	266
مکے بازی	Boxen
261ء	261
470ء	470
349ء	349
271ء	271
275ء	275
Aero.	.aero
Org.	.org
292ء	292
296ء	296
ہاپی	Hapi (ägyptische Mythologie)
345ء	345
431ء	431
380ء کی دہائی	380er
304ء	304
550ء	550
586ء	586
588ء	588
554ء	554
229ء	229
583ء	583
265ء	265
263ء	263
585ء	585
582ء	582
556ء	556
420ء	420
280ء	280
581ء	581
558ء	558
302ء	302
309ء	309
353ء	353
335ء	335
367ء	367
344ء	344
245ء	245
290ء	290
449ء	449
308ء	308
سونالی باندرے	Sonali Bendre
255ء	255
لا-نگو ضلع	Amphoe La-ngu
439ء	439
319ء	319
318ء	318
299ء	299
419ء	419
416ء	416
338ء	338
310ء	310
315ء	315
359ء	359
360ء	360
273ء	273
286ء	286
چھری	Messer
288ء	288
کارلوس خامس، مقدس رومی شہنشاہ	Karl V. (HRR)
278ء	278
لندن بورو مرٹن	London Borough of Merton
455ء	455
شاہی بورو کنگسٹن اپون ٹیمز	Royal Borough of Kingston upon Thames
لندن بورو رچمنڈ اپون ٹیمز	London Borough of Richmond upon Thames
577ء	577
جینیفر انیسٹن	Jennifer Aniston
575ء	575
482ء	482
486ء	486
580ء	580
567ء	567
564ء	564
561ء	561
328ء	328
325ء	325
317ء	317
574ء	574
566ء	566
249ء	249
348ء	348
اسم ساحہ	Domain (Internet)
442ء	442
443ء	443
دیویہی	Dhivehi
267ء	267
244ء	244
248ء	248
343ء	343
562ء	562
417ء	417
268ء	268
590ء	590
269ء	269
499ء	499
ملالہ یوسفزئی	Malala Yousafzai
409ء	409
405ء	405
406ء	406
403ء	403
414ء	414
411ء	411
412ء	412
اینگلو سیکسن	Angelsachsen
560ء	560
592ء	592
276ء	276
مسجد	Moschee
6000مقم	7. Jahrtausend v. Chr.
314ء	314
جنگ وارنا	Schlacht bei Warna
323ء	323
طرابلس ضلع، لیبیا	Munizip Tripolis
جبل الاخضر	Munizip al-Dschabal al-Achdar
366ء	366
مصراتہ ضلع	Munizip Misrata
362ء	362
545ء	545
531ء	531
514ء	514
513ء	513
539ء	539
538ء	538
519ء	519
516ء	516
520ء	520
522ء	522
528ء	528
506ء	506
526ء	526
507ء	507
ہالوتھین	Halothan
214ء	214
انڈیمانی زبانیں	Andamanische Sprachen
213ء	213
212ء	212
محمد بن قاسم	Muhammad ibn al-Qasim
228ء	228
227ء	227
بیت الحکمت	Haus der Weisheit (Bagdad)
149ء	149
174ء	174
بلوچی زبان	Belutschische Sprache
189ء	189
بین الاقوامی معیاری کتابی عدد	Internationale Standardbuchnummer
199ء	199
141ء	141
132ء	132
Seven bridges of königsberg	Königsberger Brückenproblem
125ء	125
123ء	123
147ء	147
144ء	144
198ء	198
178ء	178
چاڈیہ زبانیں	Tschadische Sprachen
177ء	177
جنین	Embryo
جنوبی ایشیائی زبانیں	Austroasiatische Sprachen
جامع مسجد قرطبہ	Mezquita-Catedral de Córdoba
187ء	187
براہوی زبان	Brahui (Sprache)
195ء	195
186ء	186
بوڑو زبان	Bodo (Sprache)
نادیہ کومانچی	Nadia Comăneci
347ء	347
620ء	620
بمبارا	Bambara
624ء	624
کوشیائی زبانیں	Kuschitische Sprachen
605ء	605
بحیرہ تسمان	Tasmansee
چکوچی۔کمچاتکی زبانیں	Tschuktscho-kamtschadalische Sprachen
629ء	629
616ء	616
لاس کروسیس، نیو میکسیکو	Las Cruces
615ء	615
دونگ نائی صوبہ	Đồng Nai
سوک ترانگ صوبہ	Sóc Trăng (Provinz)
644ء	644
646ء	646
633ء	633
کریول زبانیں	Kreolsprachen
637ء	637
مغلیہ سلطنت	Mogulreich
436ء	436
قوانگ نگائی صوبہ	Quảng Ngãi (Provinz)
434ء	434
دراوڑی زبانیں	Dravidische Sprachen
293ء	293
مونگمیائی زبانیں	Hmong-Mien-Sprachen
427ء	427
185ء	185
دونگ ہا	Đông Hà
360ء کی دہائی	360er
یوپٹوریہ	Jewpatorija
ہا تنہ صوبہ	Hà Tĩnh (Provinz)
کآ ماو صوبہ	Cà Mau (Provinz)
قوانگ نام صوبہ	Quảng Nam
321ء	321
بئن تر صوبہ	Bến Tre (Provinz)
خانھ ہوا صوبہ	Khánh Hòa
لاو کائی	Lào Cai
جالندھر	Jalandhar
سون لا صوبہ	Sơn La (Provinz)
باک ننہ	Bắc Ninh
327ء	327
430ء	430
ٹراٹسکی	Leo Trotzki
قوانگ ننہ صوبہ	Quảng Ninh
447ء	447
ہزارگی زبان	Hazaragi
لانگ سون صوبہ	Lạng Sơn (Provinz)
لٹل راک، آرکنساس	Little Rock
باک ننہ صوبہ	Bắc Ninh (Provinz)
569ء	569
سوک ترانگ	Sóc Trăng (Ort)
568ء	568
مئی تھو	Mỹ Tho
وینہ	Vinh
444ء	444
بین الاقوامی اتحاد برائے خالص و نفاذی کیمیاء	International Union of Pure and Applied Chemistry
796ء	796
798ء	798
بوون ما تھووت	Buôn Ma Thuột
793ء	793
685ء	685
799ء	799
683ء	683
274ء	274
عبرانی ابجد	Hebräisches Alphabet
ہند ایرانی زبانیں	Indoiranische Sprachen
ڈوور، ڈیلاویئر	Dover (Delaware)
اطلاقی ریاضی	Angewandte Mathematik
579ء	579
سرطانہ	Karzinom
ایرانی زبانیں	Iranische Sprachen
281ء	281
سریانی زبان	Syrische Sprache
دالہ کی حد	Grenzwert (Funktion)
306ء	306
438ء	438
فریڈرک دوم	Friedrich II. (Preußen)
کشمیری زبان	Kashmiri
297ء	297
421ء	421
298ء	298
351ء	351
ہند۔آریائی زبانیں	Indoarische Sprachen
352ء	352
355ء	355
حرکیت	Motilität
دیوقامت پانڈا	Großer Panda
قطبی ریچھ	Eisbär
جاپانائی زبانیں	Japanisch-Ryūkyū
خواسان زبانیں	Khoisansprachen
95ء	95
94ء	94
594ء	594
بحیرہ کارا	Karasee
542ء	542
ہیما مالنی	Hema Malini
448ء	448
445ء	445
305ء	305
234ء	234
جدا زبانیں	Isolierte Sprachen
565ء	565
7000مقم	8. Jahrtausend v. Chr.
گیلکی زبان	Gilaki
کنڑا زبان	Kannada
381ء	381
385ء	385
مخلوط زبانیں	Mischsprache
کانگو زبان	Kikongo
نیل۔صحرائی زبانیں	Nilosaharanische Sprachen
553ء	553
307ء	307
584ء	584
346ء	346
257ء	257
آسمانی بجلی	Blitz
285ء	285
591ء	591
289ء	289
برٹرینڈ رسل	Bertrand Russell
ہاتھ	Hand
563ء	563
نیو کیلیڈونیا	Neukaledonien
252ء	252
اڑیہ زبان	Oriya
ایڈمنڈ ہلری	Edmund Hillary
آبادی	Bevölkerung
رطانہ زبانیں	Pidgin-Sprachen
مجموعہ الجزائر	Archipel
نائجر۔کانگو زبانیں	Niger-Kongo-Sprachen
595ء	595
246ء	246
اموتائی زبانیں	Omotische Sprachen
تھیوڈور روزویلٹ	Theodore Roosevelt
596ء	596
593ء	593
357ء	357
خاندانہائے زبان	Sprachfamilien der Welt
سرائیکی لہجہ	Saraiki
573ء	573
اولورو	Uluṟu
پطرس	Simon Petrus
تل ابیب	Tel Aviv-Jaffa
اکائی بیری	Euterpe oleracea
چیکوسلوواکیہ	Tschechoslowakei
غیر درجہ بند زبانیں	Unklassifizierte Sprache
سان ریمو	Sanremo
پتا	Blatt (Pflanze)
جولس ورن	Jules Verne
بآلپارایسو	Valparaíso
سندھی زبان	Sindhi
اداکار	Schauspieler
ہالی وڈ	Hollywood
کاجو	Kaschu
مارلن برانڈو	Marlon Brando
نیووے	Niue
عرض البلد	Geographische Breite
کارتویلی زبانیں	Südkaukasische Sprachen
آبشار	Wasserfall
559ء	559
بروک-ول	Brockville
سامی زبانیں	Semitische Sprachen
599ء	599
326ء	326
زمرہ:پروگرامنگ زبانیں	Kategorie:Programmiersprache
اسحاق رابین	Jitzchak Rabin
341ء	341
322ء	322
اشکنازی	Aschkenasim
جسٹن بیبر	Justin Bieber
کانسی	Bronze
حسنی مبارک	Husni Mubarak
سارنیہ	Sarnia
فارگو, شمالی ڈکوٹا	Fargo
اوکساکا	Oaxaca
گوسٹاویا	Gustavia
اورالی زبانیں	Uralische Sprachen
تھنڈربے، انٹاریو	Thunder Bay (Ontario)
386ء	386
فونافوتی	Funafuti
374ء	374
گرینڈفورکس	Grand Forks
380ء	380
جوکاغیری زبانیں	Jukagirische Sprache
سلیش، گٹارسٹ	Slash (Musiker)
کادائی زبانیں	Tai-Kadai-Sprachen
مکھن	Butter
برانٹفورڈ	Brantford
باری، اونٹاریو	Barrie (Ontario)
پیبلو نیرودا	Pablo Neruda
زیوس	Zeus
کاک برن ٹاؤن	Cockburn Town
یاسر عرفات	Jassir Arafat
موساد	Mossad
آکسفرڈ	Oxford
برلنگٹن، اونٹاریو	Burlington (Ontario)
نیاگرا آبشار	Niagarafälle
بیلول، اونٹاریو	Belleville (Ontario)
اشاراتی زبانیں	Gebärdensprache
136ء	136
کونکنی زبان	Konkani
5000مقم	6. Jahrtausend v. Chr.
ٹلو زبان	Tulu (Sprache)
لینس ٹورویلڈس	Linus Torvalds
پورٹ او پرنس	Port-au-Prince
بی ایس ڈی	Berkeley Software Distribution
سلطنت روس	Russisches Kaiserreich
انجیل	Evangelium (Buch)
الیگزنڈر گراہم بیل	Alexander Graham Bell
ووڈرو ولسن	Woodrow Wilson
370ء کی دہائی	370er
ڈیزل ریلوے انجن	Diesellokomotive
نجوم	Astrologie
تسمانیا	Tasmanien
راٹرڈیم	Rotterdam
کریٹ	Kreta
وٹنی ہیوسٹن	Whitney Houston
عقیدہ	Glauben
صابن	Seife
عبداللہ بن عبدالمطلب	ʿAbd Allāh ibn ʿAbd al-Muttalib
موشوفتسیہ	Mošovce
فوشان	Foshan
بینظیر بھٹو	Benazir Bhutto
فلپ ثانی	Philipp II. (Frankreich)
سینٹ-دے-دس-ووسگس	Saint-Dié-des-Vosges
اگنا	Agna
جامعہ آکسفرڈ	University of Oxford
سکولونگو	Saccolongo
سڑک	Fernstraße
محمود احمدی نژاد	Mahmud Ahmadinedschad
بورس یلسن	Boris Nikolajewitsch Jelzin
مکتنز قرص	Compact Disc
الیکزینڈر سلزینسٹائن	Alexander Issajewitsch Solschenizyn
ہیروہیتو	Hirohito
ہیلی کاپٹر	Hubschrauber
القاعدہ	Al-Qaida
موٹر سائیکل	Motorrad
سینٹ ہلینا	St. Helena (Insel)
محمد ثانی	Mehmed II.
دریائی گھوڑا	Flusspferd
منظرہ	Videotechnik
382ء	382
342ء	342
373ء	373
لا لگونا کا گرجاگھر	Kathedrale von San Cristóbal de La Laguna
372ء	372
بحیرہ ایجیئن	Ägäisches Meer
زچگی	Geburt
دریائے فرات	Euphrat
جیمز گارفیلڈ	James A. Garfield
کیوٹو	Kyōto
سینٹ پیئر و میکیلون	Saint-Pierre und Miquelon
دس احکام	Zehn Gebote
شول	Synagoge
رودبار انگلستان	Ärmelkanal
1980ء کی دہائی	1980er
جوہانسبرگ	Johannesburg
1990ء کی دہائی	1990er
ہیروشیما	Hiroshima
البیغ کامو	Albert Camus
خلیج فارس	Persischer Golf
آوازِ مجسم	Stereofonie
ریت	Sand
گلاب	Rosen
کنگسٹن، جمیکا	Kingston (Jamaika)
تیندوا	Leopard
سالزبرگ	Salzburg
گینڈا	Nashörner
یونانی اساطیر	Griechische Mythologie
قطب نما	Kompass
ڈیٹن، اوہائیو	Dayton (Ohio)
جنس	Gattung (Biologie)
رڈیارڈ کپلنگ	Rudyard Kipling
معاشرتی علوم	Sozialwissenschaften
فوشن	Fuxin
صومالی لینڈ	Somaliland
جزیرہ نما	Halbinsel
فہرست ممالک بلحاظ کالنگ کوڈز	Ländervorwahlliste sortiert nach Nummern
ایکس شعاع	Röntgenstrahlung
فریڈرک اینگلز	Friedrich Engels
وینہ لونگ	Vĩnh Long
سنکیانگ	Xinjiang
سانتو دومنگو	Santo Domingo
اولیسس ایس گرانٹ	Ulysses S. Grant
الزبتھ ٹیلر	Elizabeth Taylor
اوکلاہوما شہر, اوکلاہوما	Oklahoma City
صوبہ	Provinz
پپیتا	Papaya
375ء	375
برسبین	Brisbane
رفیق تارڑ	Rafiq Tarar
بطلیموس	Claudius Ptolemäus
حیاتین	Vitamin
بن یمین فرینکلن	Benjamin Franklin
آئزک ایسیموو	Isaac Asimov
ٹرینیڈاڈ، بولیویا	Trinidad (Bolivien)
قدیم ترکی زبان	Alttürkische Sprache
تورات	Tora
کورمائر	Courmayeur
کوبیخا	Cobija (Bolivien)
تاریخا	Tarija
1970ء کی دہائی	1970er
2000ء کی دہائی	2000er
راسخُ الا عتقاد کلیسا	Orthodoxe Kirchen
ولیم میک کنلے	William McKinley
پوتوسی	Potosí
بند گوبھی	Weißkohl
اگاتھا کرسٹی	Agatha Christie
فہرست امریکی صدور	Liste der Präsidenten der Vereinigten Staaten
جنوبی جارجیا و جزائر جنوبی سینڈوچ	Südgeorgien und die Südlichen Sandwichinseln
دارالحکومتوں کی فہرست	Liste der Hauptstädte der Erde
ضرب‌المثل	Sprichwort
ویب سائٹ	Website
رونتجن	Wilhelm Conrad Röntgen
گروور کلیولینڈ	Grover Cleveland
کویت شہر	Kuwait-Stadt
چو	Zhou-Dynastie
قدیم فارسی	Altpersische Sprache
ہربرٹ ہوور	Herbert Hoover
برج بھاشا	Braj-Bhakha
اشتقاقیات	Etymologie
اورورو، بولیویا	Oruro
ماوراء الطبیعیات	Metaphysik
وارن جی ہارڈنگ	Warren G. Harding
387ء	387
نکیتا خروشیف	Nikita Sergejewitsch Chruschtschow
عرب لوگ	Araber
سینٹ-کروسٹوفے، اوستا ویلی	Saint-Christophe (Aostatal)
جھیل ٹیٹیکاکا	Titicacasee
سینٹ-ڈینس، اوستا ویلی	Saint-Denis (Aostatal)
سمیری	Sumer
سینٹ-مارسیل، اوستا ویلی	Saint-Marcel (Aostatal)
بحیرہ مرمرہ	Marmarameer
کولمبو	Colombo
آریانا جولی	Ariana Jollee
صوتیات	Phonetik
سینٹ-نکولس، اوستا ویلی	Saint-Nicolas (Aostatal)
سینٹ-ویں ، اوستا ویلی	Saint-Oyen (Aostatal)
سین-پیری، اوستا ویلی	Saint-Pierre (Aostatal)
ادریانا نیکول	Adrianna Nicole
سین-رہیمے-ین-بوئیس	Saint-Rhémy-en-Bosses
ایوا روز	Ava Rose
اے ٹی اینڈ ٹی	AT&T
ایشلے لانگ	Ashley Long
مدینہ منورہ	Medina
اینجلینا ویلنٹائن	Angelina Valentine
الماتی	Almaty
چیسٹر اے آرتھر	Chester A. Arthur
ایفرودیت	Aphrodite
غار	Höhle
قصر سفید	Weißes Haus
پاسبان	Polizei
والس و فتونہ	Wallis und Futuna
تاتاری	Tataren
ہوکائیدو	Hokkaidō
دریائے دجلہ	Tigris
کوہ اورال	Ural
آرتھر کونن ڈویل	Arthur Conan Doyle
ادرک	Ingwer
نوبل امن انعام	Friedensnobelpreis
ولیم ہاورڈ ٹافٹ	William Howard Taft
امریکہ کی ریاستیں	Bundesstaat der Vereinigten Staaten
گلیشیر	Gletscher
جزائر پٹکیرن	Pitcairninseln
بنجمن ہیریسن	Benjamin Harrison
ردرفورڈ بی ہیز	Rutherford B. Hayes
1930ء کی دہائی	1930er
ایوی سکاٹ	Avy Scott
جنوبی آسٹریلیا	South Australia
اینیٹ شوارز	Annette Schwarz (Pornodarstellerin)
1960ء کی دہائی	1960er
ایشلے بلیو	Ashley Blue
1920ء کی دہائی	1920er
الیکٹرا بلو	Alektra Blue
پارلیمان	Parlament
مادہ	Materie (Physik)
اوساکا	Ōsaka
بویز, ایڈاہو	Boise
آڈری بٹونی	Audrey Bitoni
البیضاء، لیبیا	Al-Baida
جامعہ کیمبرج	University of Cambridge
سپینوزا	Baruch de Spinoza
زرتشت	Zarathustra
رائٹ برادران	Brüder Wright
این میری ریوس	Ann Marie Rios
نیند	Schlaf
قبائلی (زبان)	Kabylische Sprache
بپتسمہ	Taufe
افراط زر	Inflation
دمہ	Asthma bronchiale
آبی کشتی	Boot
بحیرہ ارال	Aralsee
عمر خیام	Omar Khayyām
بانس	Bambuseae
تبوک، فلپائن	Tabuk City
کانگو	Congo
ایشلین بروک	Ashlynn Brooke
پولینیشیا	Polynesien
آبنائے باسفورس	Bosporus
الیکسس ٹیکسس	Alexis Texas
الیٹا اوشن	Aletta Ocean
جمالیات	Ästhetik
اینجل ڈارک	Angel Dark
ازمیر	Izmir
آریا جیووانی	Aria Giovanni
جزائر کوکوس	Kokosinseln
مرسڈیز بنز	Mercedes-Benz
ہوا بنہ صوبہ	Hòa Bình (Provinz)
کیلون کولج	Calvin Coolidge
بونتوک، ماؤنٹین صوبہ	Bontoc (Mountain Province)
دیئن بیئن فو	Điện Biên Phủ
سبنگن، ماؤنٹین علاقہ	Sabangan
پستہ	Pistazie
کوئنزلینڈ	Queensland
سڈنگہ، ماؤنٹین علاقہ	Sadanga
قوئی نھون	Quy Nhơn
سگدا	Sagada
رچ گیآ	Rach Gia
کوآلا	Koala
محمد علی (مکے باز)	Muhammad Ali
بورنیو	Borneo
آبنائے جبل الطارق	Straße von Gibraltar
انجیر	Echte Feige
بیونسے کنولز	Beyoncé Knowles
قبطی زبان	Koptische Sprache
مشرقی قازقستان صوبہ	Ostkasachstan
ہؤئی آن	Hội An
طاقم (ریاضی)	Menge (Mathematik)
ہوائے	Huế
برج ٹاؤن	Bridgetown
مصنف	Schriftsteller
لوک کہانی	Folklore
مارک ذكربرگ	Mark Zuckerberg
ایریل ریبل	Ariel Rebel
ایمبر راین	Amber Rayne
ہونگ ین صوبہ	Hưng Yên (Provinz)
ملیالم زبان	Malayalam
مصوت	Vokal
لمبائی	Länge (Physik)
آپیا	Apia
سینٹ جونز (اینٹیگوا و باربوڈا)	Saint John’s (Antigua und Barbuda)
اینی کروز	Annie Cruz
روسو (شہر)	Roseau
شاہراہ ریشم	Seidenstraße
ڈیانا راس	Diana Ross
ہسٹون	Histon
1950ء کی دہائی	1950er
این ہیتھ وے	Anne Hathaway
تھالیز	Thales
سالتا	Salta (Stadt)
کیلگری	Calgary
کون تم صوبہ	Kon Tum (Provinz)
ہآو گیانگ صوبہ	Hậu Giang
جین آسٹن	Jane Austen
گیوردانو برونو	Giordano Bruno
اگوازو آبشار	Iguazú-Wasserfälle
بھورا ریچھ	Braunbär
خواب	Traum
ین بائی صوبہ	Yên Bái (Provinz)
حموربی	Hammurapi I. (Babylon)
باک گیانگ صوبہ	Bắc Giang (Provinz)
کردی زبان	Kurdische Sprachen
تھوا تھیئن-ہوائے صوبہ	Thừa Thiên-Huế
نصف شب	Mitternacht
باک کان صوبہ	Bắc Kạn (Provinz)
ابرڈین	Aberdeen
لائی چاو صوبہ	Lai Châu (Provinz)
ہا نام صوبہ	Hà Nam
جدید زمانہ پتھر	Jungsteinzeit
ایمی ریڈ	Amy Ried
ایلار لائی	Aylar Lie
پورٹو	Porto
آڈری ہالینڈر	Audrey Hollander
ارورہ سنو	Aurora Snow
سیاسیات	Politikwissenschaft
لاو کائی صوبہ	Lào Cai (Provinz)
ہنی بال	Hannibal
کثیر خلوی	Vielzeller
جراثیم	Einzeller
طول البلد	Geographische Länge
شیر بادشاہ	Der König der Löwen
مارکونی	Guglielmo Marconi
آئون	Ion
تھان ہوا صوبہ	Thanh Hóa (Provinz)
فرانسس ڈریک	Francis Drake
ہا گیانگ	Hà Giang
پورٹ مورسبی	Port Moresby
کیمیائی تعامل	Chemische Reaktion
Ru.	.ru
Ad.	.ad
1940ء کی دہائی	1940er
1900ء کی دہائی	1900er
کیئن گیانگ صوبہ	Kiên Giang
قوانگ تری صوبہ	Quảng Trị
1910ء کی دہائی	1910er
نگہ آن صوبہ	Nghệ An
آن گیانگ صوبہ	An Giang
ہیگ	Den Haag
طبقہ	Ordnung (Biologie)
تاے ننہ صوبہ	Tây Ninh (Provinz)
